## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 270106999.3946509}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8317e+00   1.0390e+00   4.6869e-02   5.8084e-03   1.2273e+04   1.1724e+04   7.5783e+04
  3.5313e+00   3.5659e+00   1.2695e+00   3.4545e-02   4.6697e-03   1.8765e+04   1.8139e+04   1.1623e+05
  4.4457e+00   4.4913e+00   1.5003e+00   2.4685e-02   3.7740e-03   2.8456e+04   2.7770e+04   1.7788e+05
  5.5968e+00   5.6541e+00   1.7305e+00   2.0669e-02   3.0419e-03   4.3629e+04   4.2745e+04   2.7301e+05
  7.0460e+00   7.1139e+00   1.9602e+00   2.1053e-02   2.4610e-03   6.6679e+04   6.5304e+04   4.1884e+05
  8.8703e+00   8.9662e+00   2.1915e+00   1.7170e-02   1.9759e-03   1.0305e+05   1.0131e+05   6.4605e+05
  1.1167e+01   1.1276e+01   2.4208e+00   1.7970e-02   1.5719e-03   1.6296e+05   1.6008e+05   1.0241e+06
  1.4059e+01   1.4206e+01   2.6517e+00   1.3960e-03   1.2624e-03   2.4853e+05   2.4818e+05   1.5698e+06
  1.7699e+01   1.7879e+01   2.8817e+00   5.5330e-03   1.0142e-03   3.8663e+05   3.8450e+05   2.4429e+06
  2.2281e+01   2.2509e+01   3.1120e+00  -7.8329e-03   8.1219e-04   5.9490e+05   5.9960e+05   3.7953e+06
  2.8050e+01   2.8349e+01   3.3426e+00  -5.8351e-03   6.5440e-04   9.1824e+05   9.2363e+05   5.8119e+06
  3.5313e+01   3.5672e+01   3.5724e+00  -4.6220e-03   5.2853e-04   1.4094e+06   1.4159e+06   8.8990e+06
  4.4457e+01   4.4903e+01   3.8025e+00  -1.7321e-02   4.2555e-04   2.1462e+06   2.1841e+06   1.3608e+07
  5.5968e+01   5.6541e+01   4.0330e+00  -9.7100e-03   3.4180e-04   3.3526e+06   3.3855e+06   2.1221e+07
  7.0460e+01   7.1169e+01   4.2631e+00  -8.4780e-03   2.7672e-04   5.1217e+06   5.1655e+06   3.2405e+07
  8.8703e+01   8.9566e+01   4.4930e+00  -9.0094e-03   2.2493e-04   7.7476e+06   7.8180e+06   4.8986e+07
  1.1167e+02   1.1284e+02   4.7240e+00  -1.5137e-02   1.8134e-04   1.1846e+07   1.2028e+07   7.5257e+07
  1.4059e+02   1.4212e+02   4.9548e+00  -1.7795e-02   1.4375e-04   1.8800e+07   1.9141e+07   1.1975e+08
  1.7699e+02   1.7865e+02   5.1834e+00  -1.9269e-02   1.1585e-04   2.8902e+07   2.9470e+07   1.8347e+08
  2.2281e+02   2.2433e+02   5.4111e+00  -2.5236e-02   9.8848e-05   3.9459e+07   4.0480e+07   2.4990e+08
