## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 1674897565.9551039}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8333e+00   1.0395e+00   1.6928e-02   2.7623e-03   6.9769e+04   6.8607e+04   3.8922e+05
  3.5313e+00   3.5689e+00   1.2704e+00   1.4508e-02   2.2094e-03   1.0880e+05   1.0724e+05   6.0688e+05
  4.4457e+00   4.4929e+00   1.5006e+00   1.2265e-02   1.7619e-03   1.7070e+05   1.6863e+05   9.5462e+05
  5.5968e+00   5.6551e+00   1.7307e+00   6.9379e-03   1.4019e-03   2.6821e+05   2.6636e+05   1.4992e+06
  7.0460e+00   7.1203e+00   1.9611e+00   6.1444e-03   1.1180e-03   4.2138e+05   4.1881e+05   2.3618e+06
  8.8703e+00   8.9652e+00   2.1914e+00  -7.2786e-03   8.8857e-04   6.5821e+05   6.6304e+05   3.7148e+06
  1.1167e+01   1.1285e+01   2.4216e+00  -1.5046e-02   7.0606e-04   1.0343e+06   1.0501e+06   5.8594e+06
  1.4059e+01   1.4210e+01   2.6520e+00  -1.3224e-02   5.6310e-04   1.6292e+06   1.6510e+06   9.2158e+06
  1.7699e+01   1.7888e+01   2.8822e+00  -1.0225e-02   4.4940e-04   2.5656e+06   2.5921e+06   1.4503e+07
  2.2281e+01   2.2521e+01   3.1125e+00  -8.9108e-03   3.5828e-04   4.0418e+06   4.0782e+06   2.2857e+07
  2.8050e+01   2.8352e+01   3.3427e+00  -7.1665e-03   2.8586e-04   6.3605e+06   6.4064e+06   3.6004e+07
  3.5313e+01   3.5692e+01   3.5730e+00  -5.2934e-03   2.2820e-04   1.0000e+07   1.0053e+07   5.6565e+07
  4.4457e+01   4.4930e+01   3.8031e+00  -2.9192e-03   1.8236e-04   1.5696e+07   1.5742e+07   8.8587e+07
  5.5968e+01   5.6563e+01   4.0334e+00  -3.2067e-03   1.4608e-04   2.4453e+07   2.4531e+07   1.3769e+08
  7.0460e+01   7.1209e+01   4.2636e+00   1.1430e-03   1.1706e-04   3.8245e+07   3.8202e+07   2.1458e+08
  8.8703e+01   8.9657e+01   4.4940e+00   3.3015e-03   9.3878e-05   5.9598e+07   5.9401e+07   3.3377e+08
  1.1167e+02   1.1290e+02   4.7245e+00   6.1343e-03   7.4721e-05   9.4338e+07   9.3763e+07   5.2604e+08
  1.4059e+02   1.4211e+02   4.9546e+00   7.7100e-04   5.9096e-05   1.5002e+08   1.4990e+08   8.3791e+08
  1.7699e+02   1.7872e+02   5.1838e+00  -1.2992e-03   4.7659e-05   2.3018e+08   2.3048e+08   1.2875e+09
  2.2281e+02   2.2430e+02   5.4109e+00   3.2273e-03   4.0892e-05   3.1408e+08   3.1307e+08   1.7521e+09
