## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 187203562.17087263}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8319e+00   1.0390e+00   6.1250e-02   6.3063e-03   1.0326e+04   9.7298e+03   6.3133e+04
  3.5313e+00   3.5655e+00   1.2694e+00   8.0004e-02   5.1262e-03   1.5903e+04   1.4725e+04   9.6593e+04
  4.4457e+00   4.4864e+00   1.4992e+00   7.5705e-02   4.1552e-03   2.4108e+04   2.2411e+04   1.4638e+05
  5.5968e+00   5.6531e+00   1.7303e+00   7.7835e-02   3.3581e-03   3.6985e+04   3.4314e+04   2.2402e+05
  7.0460e+00   7.1181e+00   1.9607e+00   6.0626e-02   2.7179e-03   5.5559e+04   5.2383e+04   3.3752e+05
  8.8703e+00   8.9680e+00   2.1918e+00   5.7498e-02   2.1808e-03   8.6038e+04   8.1360e+04   5.2617e+05
  1.1167e+01   1.1279e+01   2.4210e+00   5.3892e-02   1.7388e-03   1.3488e+05   1.2798e+05   8.2224e+05
  1.4059e+01   1.4198e+01   2.6512e+00   6.4676e-02   1.4235e-03   2.0331e+05   1.9096e+05   1.2324e+06
  1.7699e+01   1.7873e+01   2.8814e+00   5.4712e-02   1.1615e-03   3.0250e+05   2.8680e+05   1.8487e+06
  2.2281e+01   2.2493e+01   3.1112e+00   3.9652e-02   9.4088e-04   4.5443e+05   4.3710e+05   2.7986e+06
  2.8050e+01   2.8326e+01   3.3418e+00   4.3309e-02   7.7998e-04   6.6358e+05   6.3604e+05   4.0703e+06
  3.5313e+01   3.5632e+01   3.5712e+00   4.0867e-02   6.4696e-04   9.6225e+05   9.2447e+05   5.8713e+06
  4.4457e+01   4.4838e+01   3.8011e+00   3.2141e-02   5.4027e-04   1.3682e+06   1.3256e+06   8.3581e+06
  5.5968e+01   5.6462e+01   4.0316e+00   8.1296e-03   4.5047e-04   1.9223e+06   1.9068e+06   1.1825e+07
  7.0460e+01   7.1120e+01   4.2624e+00  -1.3029e-02   3.7206e-04   2.7589e+06   2.7953e+06   1.6793e+07
  8.8703e+01   8.9571e+01   4.4930e+00  -1.5807e-02   3.0571e-04   4.0748e+06   4.1403e+06   2.4433e+07
  1.1167e+02   1.1284e+02   4.7240e+00  -2.8045e-03   2.5016e-04   6.1657e+06   6.1831e+06   3.6893e+07
  1.4059e+02   1.4208e+02   4.9544e+00   2.4658e-02   2.0177e-04   9.7390e+06   9.5046e+06   5.8968e+07
  1.7699e+02   1.7858e+02   5.1830e+00   4.3315e-02   1.6534e-04   1.4768e+07   1.4155e+07   9.0695e+07
  2.2281e+02   2.2582e+02   5.4177e+00   1.4442e-02   1.3151e-04   2.2696e+07   2.2373e+07   1.4225e+08
