## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 129793858.33056127}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8284e+00   1.0378e+00   2.0215e-02   7.1756e-03   9.3141e+03   9.1296e+03   5.2691e+04
  3.5313e+00   3.5670e+00   1.2698e+00   1.1340e-02   5.7587e-03   1.4335e+04   1.4175e+04   8.1138e+04
  4.4457e+00   4.4916e+00   1.5003e+00  -9.9457e-03   4.6334e-03   2.1678e+04   2.1896e+04   1.2307e+05
  5.5968e+00   5.6538e+00   1.7304e+00  -7.2251e-03   3.7262e-03   3.3612e+04   3.3856e+04   1.8911e+05
  7.0460e+00   7.1186e+00   1.9608e+00  -4.1782e-02   3.0028e-03   4.9955e+04   5.2133e+04   2.8798e+05
  8.8703e+00   8.9628e+00   2.1912e+00  -4.1255e-02   2.4111e-03   7.7524e+04   8.0860e+04   4.4275e+05
  1.1167e+01   1.1284e+01   2.4215e+00  -4.6544e-02   1.9238e-03   1.2110e+05   1.2701e+05   6.9246e+05
  1.4059e+01   1.4208e+01   2.6519e+00  -3.8517e-02   1.5474e-03   1.8876e+05   1.9632e+05   1.0699e+06
  1.7699e+01   1.7882e+01   2.8818e+00  -4.7512e-02   1.2402e-03   2.9111e+05   3.0563e+05   1.6511e+06
  2.2281e+01   2.2505e+01   3.1118e+00  -6.0077e-02   9.9260e-04   4.4845e+05   4.7711e+05   2.5455e+06
  2.8050e+01   2.8350e+01   3.3427e+00  -7.3382e-02   8.0290e-04   6.7568e+05   7.2919e+05   3.8556e+06
  3.5313e+01   3.5641e+01   3.5715e+00  -8.6020e-02   6.5135e-04   1.0127e+06   1.1080e+06   5.8430e+06
  4.4457e+01   4.4895e+01   3.8023e+00  -8.5253e-02   5.3721e-04   1.4899e+06   1.6288e+06   8.6043e+06
  5.5968e+01   5.6535e+01   4.0329e+00  -5.5872e-02   4.4557e-04   2.2355e+06   2.3677e+06   1.2696e+07
  7.0460e+01   7.1149e+01   4.2628e+00  -5.4774e-02   3.6803e-04   3.2805e+06   3.4706e+06   1.8721e+07
  8.8703e+01   8.9671e+01   4.4942e+00  -4.7724e-02   3.0166e-04   4.9192e+06   5.1657e+06   2.8013e+07
  1.1167e+02   1.1285e+02   4.7241e+00  -3.7885e-02   2.4416e-04   7.5864e+06   7.8851e+06   4.3220e+07
  1.4059e+02   1.4208e+02   4.9544e+00  -1.1406e-02   1.9890e-04   1.1746e+07   1.1882e+07   6.6531e+07
  1.7699e+02   1.7851e+02   5.1826e+00   1.2207e-02   1.6851e-04   1.6756e+07   1.6554e+07   9.4777e+07
  2.2281e+02   2.2314e+02   5.4057e+00   3.9109e-02   1.5892e-04   1.9341e+07   1.8613e+07   1.0888e+08
