## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 342673443.5469074}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8353e+00   1.0402e+00   3.2977e-02   3.8443e-03   1.3186e+04   1.2765e+04   8.3458e+04
  3.5313e+00   3.5676e+00   1.2700e+00   1.4703e-02   3.0673e-03   2.0346e+04   2.0051e+04   1.3029e+05
  4.4457e+00   4.4944e+00   1.5009e+00   2.1152e-02   2.4458e-03   3.2205e+04   3.1538e+04   2.0282e+05
  5.5968e+00   5.6532e+00   1.7303e+00   2.2421e-02   1.9488e-03   5.0787e+04   4.9673e+04   3.1912e+05
  7.0460e+00   7.1190e+00   1.9609e+00   1.9129e-02   1.5518e-03   7.9842e+04   7.8344e+04   5.0216e+05
  8.8703e+00   8.9656e+00   2.1915e+00   2.0013e-02   1.2342e-03   1.2633e+05   1.2385e+05   7.9047e+05
  1.1167e+01   1.1287e+01   2.4218e+00   9.6765e-03   9.7979e-04   1.9841e+05   1.9651e+05   1.2483e+06
  1.4059e+01   1.4209e+01   2.6519e+00   7.8855e-03   7.8242e-04   3.1059e+05   3.0816e+05   1.9504e+06
  1.7699e+01   1.7887e+01   2.8822e+00   8.9458e-03   6.2457e-04   4.8794e+05   4.8361e+05   3.0543e+06
  2.2281e+01   2.2518e+01   3.1124e+00   5.9556e-03   4.9756e-04   7.6656e+05   7.6202e+05   4.7906e+06
  2.8050e+01   2.8354e+01   3.3428e+00   8.0369e-03   3.9670e-04   1.2084e+06   1.1987e+06   7.5347e+06
  3.5313e+01   3.5693e+01   3.5730e+00   5.5429e-03   3.1597e-04   1.9000e+06   1.8895e+06   1.1877e+07
  4.4457e+01   4.4921e+01   3.8029e+00   3.9469e-03   2.5189e-04   2.9850e+06   2.9733e+06   1.8660e+07
  5.5968e+01   5.6557e+01   4.0333e+00   9.8011e-04   2.0135e-04   4.6577e+06   4.6532e+06   2.9205e+07
  7.0460e+01   7.1190e+01   4.2634e+00  -2.4417e-03   1.6142e-04   7.2225e+06   7.2402e+06   4.5404e+07
  8.8703e+01   8.9633e+01   4.4937e+00  -2.0525e-03   1.2981e-04   1.1172e+07   1.1195e+07   7.0207e+07
  1.1167e+02   1.1284e+02   4.7240e+00  -1.9722e-03   1.0434e-04   1.7293e+07   1.7328e+07   1.0857e+08
  1.4059e+02   1.4205e+02   4.9542e+00  -6.0711e-03   8.3916e-05   2.6627e+07   2.6789e+07   1.6771e+08
  1.7699e+02   1.7862e+02   5.1833e+00  -4.8325e-03   6.8422e-05   4.0101e+07   4.0296e+07   2.5219e+08
  2.2281e+02   2.2446e+02   5.4117e+00  -5.9677e-03   5.8425e-05   5.4936e+07   5.5266e+07   3.4567e+08
