## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 51146377.3960647}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8299e+00   1.0383e+00   1.4671e-02   1.0079e-02   4.7937e+03   4.7244e+03   2.4561e+04
  3.5313e+00   3.5690e+00   1.2704e+00   3.5795e-02   8.0859e-03   7.6033e+03   7.3405e+03   3.8751e+04
  4.4457e+00   4.4907e+00   1.5002e+00   3.3585e-02   6.5100e-03   1.1705e+04   1.1324e+04   5.9151e+04
  5.5968e+00   5.6538e+00   1.7305e+00   2.1453e-02   5.2706e-03   1.7647e+04   1.7277e+04   8.9706e+04
  7.0460e+00   7.1151e+00   1.9603e+00   3.8237e-02   4.2597e-03   2.7461e+04   2.6450e+04   1.3750e+05
  8.8703e+00   8.9629e+00   2.1912e+00   3.2485e-02   3.4512e-03   4.1603e+04   4.0294e+04   2.0932e+05
  1.1167e+01   1.1275e+01   2.4207e+00   2.7094e-02   2.8063e-03   6.2594e+04   6.0943e+04   3.1926e+05
  1.4059e+01   1.4196e+01   2.6510e+00   1.6987e-02   2.2893e-03   9.3129e+04   9.1574e+04   4.7939e+05
  1.7699e+01   1.7858e+01   2.8805e+00   1.6881e-02   1.8820e-03   1.3779e+05   1.3551e+05   7.1633e+05
  2.2281e+01   2.2483e+01   3.1108e+00   3.7464e-03   1.5487e-03   2.0084e+05   2.0009e+05   1.0545e+06
  2.8050e+01   2.8290e+01   3.3405e+00   7.1552e-04   1.2964e-03   2.8576e+05   2.8556e+05   1.5010e+06
  3.5313e+01   3.5592e+01   3.5701e+00  -3.8045e-02   1.0898e-03   3.8873e+05   4.0410e+05   2.0820e+06
  4.4457e+01   4.4872e+01   3.8018e+00  -4.9404e-02   9.1520e-04   5.4469e+05   5.7300e+05   2.8686e+06
  5.5968e+01   5.6553e+01   4.0332e+00   3.6510e-02   7.7298e-04   8.3257e+05   8.0325e+05   4.1306e+06
  7.0460e+01   7.1184e+01   4.2633e+00   1.1303e-01   6.4310e-04   1.2916e+06   1.1605e+06   6.2964e+06
  8.8703e+01   8.9777e+01   4.4954e+00   1.1625e-01   5.0697e-04   2.0844e+06   1.8673e+06   1.0209e+07
  1.1167e+02   1.1321e+02   4.7273e+00   4.7252e-02   3.6856e-04   3.7001e+06   3.5332e+06   1.8541e+07
  1.4059e+02   1.4215e+02   4.9549e+00   2.4598e-02   2.7286e-04   6.6046e+06   6.4461e+06   3.3700e+07
  1.7699e+02   1.7773e+02   5.1782e+00  -1.3463e-02   2.3390e-04   8.6541e+06   8.7722e+06   4.4761e+07
  2.2281e+02   2.2473e+02   5.4127e+00   3.7507e-03   2.1809e-04   1.0129e+07   1.0091e+07   5.1684e+07
