## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 461790245.8511729}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8326e+00   1.0393e+00   4.1273e-02   4.0129e-03   2.3626e+04   2.2689e+04   1.5491e+05
  3.5313e+00   3.5675e+00   1.2700e+00   4.2702e-02   3.2202e-03   3.6739e+04   3.5235e+04   2.4014e+05
  4.4457e+00   4.4917e+00   1.5004e+00   3.4525e-02   2.5840e-03   5.6610e+04   5.4721e+04   3.7077e+05
  5.5968e+00   5.6537e+00   1.7304e+00   3.7071e-02   2.0727e-03   8.8203e+04   8.5050e+04   5.7589e+05
  7.0460e+00   7.1186e+00   1.9608e+00   3.7838e-02   1.6656e-03   1.3668e+05   1.3170e+05   8.9086e+05
  8.8703e+00   8.9640e+00   2.1913e+00   3.5186e-02   1.3341e-03   2.1249e+05   2.0527e+05   1.3845e+06
  1.1167e+01   1.1283e+01   2.4214e+00   2.7056e-02   1.0630e-03   3.3209e+05   3.2334e+05   2.1601e+06
  1.4059e+01   1.4200e+01   2.6513e+00   1.8365e-02   8.5593e-04   5.0788e+05   4.9872e+05   3.3133e+06
  1.7699e+01   1.7882e+01   2.8819e+00   1.1051e-02   6.8810e-04   7.8018e+05   7.7166e+05   5.1064e+06
  2.2281e+01   2.2510e+01   3.1120e+00   8.0447e-03   5.5008e-04   1.2172e+06   1.2075e+06   7.9438e+06
  2.8050e+01   2.8334e+01   3.3421e+00  -1.3977e-03   4.4285e-04   1.8604e+06   1.8630e+06   1.2164e+07
  3.5313e+01   3.5674e+01   3.5725e+00  -1.2547e-03   3.5802e-04   2.8468e+06   2.8504e+06   1.8607e+07
  4.4457e+01   4.4900e+01   3.8025e+00   3.2710e-03   2.9065e-04   4.3392e+06   4.3250e+06   2.8350e+07
  5.5968e+01   5.6508e+01   4.0324e+00  -4.1321e-03   2.3714e-04   6.4705e+06   6.4973e+06   4.2392e+07
  7.0460e+01   7.1134e+01   4.2626e+00   4.3484e-03   1.9486e-04   9.6644e+06   9.6226e+06   6.3162e+07
  8.8703e+01   8.9469e+01   4.4919e+00   1.1505e-02   1.6167e-04   1.4140e+07   1.3980e+07   9.2220e+07
  1.1167e+02   1.1257e+02   4.7216e+00  -1.0412e-03   1.3648e-04   1.9594e+07   1.9615e+07   1.2866e+08
  1.4059e+02   1.4196e+02   4.9536e+00  -6.3771e-03   1.1421e-04   2.7832e+07   2.8010e+07   1.8405e+08
  1.7699e+02   1.7879e+02   5.1842e+00  -8.5053e-03   9.3116e-05   4.1781e+07   4.2139e+07   2.7585e+08
  2.2281e+02   2.2523e+02   5.4151e+00   7.3655e-03   7.5235e-05   6.5024e+07   6.4549e+07   4.2651e+08
