## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 191817707.57364628}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8292e+00   1.0381e+00   5.9873e-03   6.9889e-03   9.2387e+03   9.1837e+03   5.3938e+04
  3.5313e+00   3.5625e+00   1.2686e+00  -1.3791e-02   5.7486e-03   1.3387e+04   1.3574e+04   7.9349e+04
  4.4457e+00   4.4852e+00   1.4989e+00  -2.9097e-02   4.7070e-03   1.9658e+04   2.0247e+04   1.1740e+05
  5.5968e+00   5.6520e+00   1.7301e+00  -4.8313e-02   3.8546e-03   2.8732e+04   3.0191e+04   1.7239e+05
  7.0460e+00   7.1076e+00   1.9593e+00  -6.1738e-02   3.1537e-03   4.2316e+04   4.5101e+04   2.5429e+05
  8.8703e+00   8.9761e+00   2.1926e+00  -8.6926e-02   2.5397e-03   6.3502e+04   6.9547e+04   3.8750e+05
  1.1167e+01   1.1272e+01   2.4204e+00  -8.1801e-02   1.9812e-03   1.0493e+05   1.1428e+05   6.3593e+05
  1.4059e+01   1.4204e+01   2.6516e+00  -8.2025e-02   1.6045e-03   1.5996e+05   1.7425e+05   9.5909e+05
  1.7699e+01   1.7883e+01   2.8819e+00  -8.7350e-02   1.3006e-03   2.4201e+05   2.6518e+05   1.4575e+06
  2.2281e+01   2.2503e+01   3.1117e+00  -8.2043e-02   1.0348e-03   3.8458e+05   4.1895e+05   2.3294e+06
  2.8050e+01   2.8383e+01   3.3438e+00  -7.9092e-02   8.4082e-04   5.8431e+05   6.3450e+05   3.5347e+06
  3.5313e+01   3.5686e+01   3.5728e+00  -8.2032e-02   6.6735e-04   9.2461e+05   1.0072e+06   5.6020e+06
  4.4457e+01   4.4945e+01   3.8034e+00  -6.0447e-02   5.3292e-04   1.4840e+06   1.5795e+06   8.9013e+06
  5.5968e+01   5.6567e+01   4.0334e+00  -4.9779e-02   4.2503e-04   2.3595e+06   2.4831e+06   1.4076e+07
  7.0460e+01   7.1212e+01   4.2637e+00  -5.0297e-02   3.3937e-04   3.6990e+06   3.8949e+06   2.2194e+07
  8.8703e+01   8.9575e+01   4.4931e+00  -3.2976e-02   2.7457e-04   5.7540e+06   5.9502e+06   3.4150e+07
  1.1167e+02   1.1289e+02   4.7245e+00  -2.0208e-02   2.2549e-04   8.6444e+06   8.8226e+06   5.0979e+07
  1.4059e+02   1.4197e+02   4.9536e+00  -5.4298e-03   1.8282e-04   1.3349e+07   1.3422e+07   7.8331e+07
  1.7699e+02   1.7880e+02   5.1843e+00  -1.9657e-02   1.4842e-04   1.9962e+07   2.0362e+07   1.1763e+08
  2.2281e+02   2.2467e+02   5.4126e+00  -2.8673e-02   1.2167e-04   2.9434e+07   3.0303e+07   1.7491e+08
