## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 187118179.00813895}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8319e+00   1.0390e+00  -1.9707e-02   7.2702e-03   9.1000e+03   9.2829e+03   5.7800e+04
  3.5313e+00   3.5635e+00   1.2689e+00   8.5948e-03   6.0223e-03   1.3645e+04   1.3528e+04   8.6071e+04
  4.4457e+00   4.4896e+00   1.4998e+00  -1.0133e-02   4.9081e-03   2.0162e+04   2.0368e+04   1.2717e+05
  5.5968e+00   5.6490e+00   1.7296e+00   3.2846e-03   4.0356e-03   3.0227e+04   3.0128e+04   1.8787e+05
  7.0460e+00   7.1027e+00   1.9586e+00  -2.5106e-02   3.3585e-03   4.2408e+04   4.3500e+04   2.6593e+05
  8.8703e+00   8.9744e+00   2.1924e+00  -6.0699e-02   2.7236e-03   6.2131e+04   6.6146e+04   3.9551e+05
  1.1167e+01   1.1275e+01   2.4206e+00  -3.5555e-02   2.1548e-03   1.0192e+05   1.0567e+05   6.3569e+05
  1.4059e+01   1.4202e+01   2.6514e+00   1.8595e-02   1.7845e-03   1.5694e+05   1.5408e+05   9.6188e+05
  1.7699e+01   1.7893e+01   2.8824e+00   1.6368e-02   1.4493e-03   2.3740e+05   2.3358e+05   1.4882e+06
  2.2281e+01   2.2479e+01   3.1106e+00  -1.4082e-02   1.1564e-03   3.6176e+05   3.6692e+05   2.2938e+06
  2.8050e+01   2.8381e+01   3.3437e+00  -2.8811e-02   9.3614e-04   5.4375e+05   5.5988e+05   3.4511e+06
  3.5313e+01   3.5706e+01   3.5733e+00  -1.2091e-02   7.4237e-04   8.7955e+05   8.9031e+05   5.5739e+06
  4.4457e+01   4.4956e+01   3.8037e+00  -2.0382e-02   5.8798e-04   1.3903e+06   1.4192e+06   8.8848e+06
  5.5968e+01   5.6605e+01   4.0341e+00  -2.4038e-02   4.5196e-04   2.3443e+06   2.4020e+06   1.5036e+07
  7.0460e+01   7.1194e+01   4.2634e+00  -1.5245e-02   3.5894e-04   3.7502e+06   3.8083e+06   2.3909e+07
  8.8703e+01   8.9597e+01   4.4933e+00  -2.3731e-03   2.9418e-04   5.6561e+06   5.6696e+06   3.6367e+07
  1.1167e+02   1.1299e+02   4.7253e+00   1.8296e-02   2.3096e-04   9.3662e+06   9.1979e+06   5.9961e+07
  1.4059e+02   1.4197e+02   4.9536e+00   3.5794e-02   1.9062e-04   1.3987e+07   1.3504e+07   8.9213e+07
  1.7699e+02   1.7882e+02   5.1844e+00   1.9808e-02   1.5321e-04   2.1318e+07   2.0904e+07   1.3511e+08
  2.2281e+02   2.2473e+02   5.4129e+00  -2.0477e-02   1.2442e-04   3.1045e+07   3.1694e+07   1.9789e+08
