## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 8179377.221385978}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8341e+00   1.0399e+00   7.5161e-02   1.4564e-02   1.5995e+03   1.4877e+03   1.0658e+04
  3.5313e+00   3.5695e+00   1.2705e+00   2.9729e-02   1.1786e-02   2.3392e+03   2.2717e+03   1.6162e+04
  4.4457e+00   4.4892e+00   1.4998e+00   2.5437e-02   9.5222e-03   3.5689e+03   3.4803e+03   2.4564e+04
  5.5968e+00   5.6430e+00   1.7286e+00   4.4127e-02   7.7570e-03   5.4760e+03   5.2446e+03   3.7010e+04
  7.0460e+00   7.1191e+00   1.9609e+00   1.5547e-02   6.2454e-03   8.2163e+03   8.0905e+03   5.6992e+04
  8.8703e+00   8.9709e+00   2.1921e+00   4.2332e-02   5.0334e-03   1.2983e+04   1.2456e+04   8.8474e+04
  1.1167e+01   1.1275e+01   2.4207e+00   2.8222e-02   4.0087e-03   2.0192e+04   1.9638e+04   1.3742e+05
  1.4059e+01   1.4198e+01   2.6512e+00  -2.4350e-03   3.2344e-03   3.0091e+04   3.0165e+04   2.0787e+05
  1.7699e+01   1.7891e+01   2.8824e+00   1.5249e-02   2.6239e-03   4.6534e+04   4.5835e+04   3.2218e+05
  2.2281e+01   2.2477e+01   3.1105e+00   1.9866e-02   2.1545e-03   6.9333e+04   6.7982e+04   4.7385e+05
  2.8050e+01   2.8294e+01   3.3407e+00   2.5879e-02   1.8183e-03   9.7916e+04   9.5446e+04   6.7030e+05
  3.5313e+01   3.5622e+01   3.5710e+00   5.2639e-02   1.5459e-03   1.3900e+05   1.3205e+05   9.5064e+05
  4.4457e+01   4.4774e+01   3.7996e+00   3.9499e-02   1.3319e-03   1.8490e+05   1.7788e+05   1.3101e+06
  5.5968e+01   5.6262e+01   4.0280e+00   1.7972e-02   1.2064e-03   2.2071e+05   2.1682e+05   1.6297e+06
  7.0460e+01   7.0847e+01   4.2585e+00   1.4887e-02   1.1186e-03   2.5597e+05   2.5221e+05   1.9251e+06
  8.8703e+01   8.9225e+01   4.4891e+00   2.1424e-02   1.0081e-03   3.1718e+05   3.1053e+05   2.4085e+06
  1.1167e+02   1.1243e+02   4.7203e+00  -7.8946e-03   8.8490e-04   3.9982e+05   4.0300e+05   3.1233e+06
  1.4059e+02   1.4237e+02   4.9565e+00   3.1062e-02   7.4695e-04   5.8318e+05   5.6561e+05   4.3232e+06
  1.7699e+02   1.8019e+02   5.1920e+00   3.9570e-02   5.4421e-04   1.1077e+06   1.0655e+06   7.9067e+06
  2.2281e+02   2.2430e+02   5.4110e+00   1.1235e-02   4.0797e-04   1.9173e+06   1.8960e+06   1.3535e+07
