## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 361615796.4769928}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8320e+00   1.0391e+00   3.3221e-03   3.9980e-03   3.0271e+04   3.0170e+04   1.6124e+05
  3.5313e+00   3.5660e+00   1.2696e+00  -2.6489e-03   3.2350e-03   4.5958e+04   4.6080e+04   2.4441e+05
  4.4457e+00   4.4904e+00   1.5001e+00   6.5997e-03   2.6151e-03   7.0982e+04   7.0517e+04   3.7444e+05
  5.5968e+00   5.6496e+00   1.7297e+00  -6.0551e-03   2.1137e-03   1.0729e+05   1.0794e+05   5.7116e+05
  7.0460e+00   7.1178e+00   1.9607e+00  -6.7460e-03   1.7119e-03   1.6345e+05   1.6456e+05   8.7093e+05
  8.8703e+00   8.9596e+00   2.1908e+00  -1.5389e-02   1.3796e-03   2.4948e+05   2.5338e+05   1.3382e+06
  1.1167e+01   1.1283e+01   2.4213e+00  -2.6495e-02   1.1031e-03   3.8583e+05   3.9633e+05   2.0851e+06
  1.4059e+01   1.4202e+01   2.6514e+00  -3.6066e-02   8.8937e-04   5.8770e+05   6.0969e+05   3.1907e+06
  1.7699e+01   1.7877e+01   2.8816e+00  -5.3109e-02   7.1742e-04   8.8718e+05   9.3694e+05   4.8759e+06
  2.2281e+01   2.2508e+01   3.1119e+00  -4.5538e-02   5.7888e-04   1.3736e+06   1.4391e+06   7.5488e+06
  2.8050e+01   2.8333e+01   3.3420e+00  -4.1825e-02   4.6930e-04   2.0980e+06   2.1896e+06   1.1508e+07
  3.5313e+01   3.5644e+01   3.5716e+00  -4.9923e-02   3.8283e-04   3.1262e+06   3.2904e+06   1.7184e+07
  4.4457e+01   4.4877e+01   3.8019e+00  -5.6766e-02   3.1216e-04   4.6679e+06   4.9488e+06   2.5765e+07
  5.5968e+01   5.6496e+01   4.0322e+00  -4.7028e-02   2.5849e-04   6.8780e+06   7.2174e+06   3.7890e+07
  7.0460e+01   7.1088e+01   4.2619e+00  -3.4583e-02   2.1559e-04   1.0017e+07   1.0375e+07   5.4413e+07
  8.8703e+01   8.9490e+01   4.4921e+00  -7.0470e-03   1.8188e-04   1.4475e+07   1.4578e+07   7.7305e+07
  1.1167e+02   1.1280e+02   4.7236e+00   1.3075e-03   1.5135e-04   2.1081e+07   2.1054e+07   1.1257e+08
  1.4059e+02   1.4200e+02   4.9538e+00   1.0546e-02   1.2263e-04   3.2406e+07   3.2068e+07   1.7426e+08
  1.7699e+02   1.7873e+02   5.1839e+00   6.4320e-03   9.9534e-05   4.8990e+07   4.8677e+07   2.6399e+08
  2.2281e+02   2.2444e+02   5.4115e+00   7.0046e-04   8.5111e-05   6.6619e+07   6.6572e+07   3.6221e+08
