## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 602453017.288221}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8341e+00   1.0398e+00   6.9016e-03   3.2448e-03   4.0972e+04   4.0691e+04   2.3213e+05
  3.5313e+00   3.5659e+00   1.2695e+00  -1.9536e-03   2.6034e-03   6.3084e+04   6.3207e+04   3.5728e+05
  4.4457e+00   4.4920e+00   1.5004e+00   2.4990e-03   2.0848e-03   9.8814e+04   9.8568e+04   5.5800e+05
  5.5968e+00   5.6553e+00   1.7307e+00  -8.3574e-03   1.6714e-03   1.5208e+05   1.5336e+05   8.6484e+05
  7.0460e+00   7.1212e+00   1.9612e+00  -7.9859e-04   1.3377e-03   2.3923e+05   2.3942e+05   1.3521e+06
  8.8703e+00   8.9632e+00   2.1912e+00  -1.2852e-02   1.0663e-03   3.7196e+05   3.7680e+05   2.1116e+06
  1.1167e+01   1.1283e+01   2.4214e+00  -1.7480e-02   8.5119e-04   5.8097e+05   5.9130e+05   3.3023e+06
  1.4059e+01   1.4208e+01   2.6519e+00  -1.8829e-02   6.8079e-04   9.0695e+05   9.2435e+05   5.1545e+06
  1.7699e+01   1.7885e+01   2.8820e+00  -1.7148e-02   5.4494e-04   1.4179e+06   1.4427e+06   8.0116e+06
  2.2281e+01   2.2502e+01   3.1117e+00  -3.1804e-02   4.3561e-04   2.1859e+06   2.2577e+06   1.2473e+07
  2.8050e+01   2.8343e+01   3.3424e+00  -4.4475e-02   3.4968e-04   3.3479e+06   3.5037e+06   1.9219e+07
  3.5313e+01   3.5675e+01   3.5725e+00  -4.7881e-02   2.8140e-04   5.1513e+06   5.4103e+06   2.9572e+07
  4.4457e+01   4.4917e+01   3.8028e+00  -4.5569e-02   2.2675e-04   7.9529e+06   8.3326e+06   4.5607e+07
  5.5968e+01   5.6546e+01   4.0331e+00  -3.5000e-02   1.8299e-04   1.2346e+07   1.2794e+07   7.0259e+07
  7.0460e+01   7.1150e+01   4.2628e+00  -3.5874e-02   1.4846e-04   1.8740e+07   1.9438e+07   1.0606e+08
  8.8703e+01   8.9602e+01   4.4934e+00  -3.7402e-02   1.2124e-04   2.8057e+07   2.9147e+07   1.5812e+08
  1.1167e+02   1.1279e+02   4.7235e+00  -2.1628e-02   9.9162e-05   4.2627e+07   4.3569e+07   2.3822e+08
  1.4059e+02   1.4182e+02   4.9526e+00  -1.6772e-02   8.2412e-05   6.2021e+07   6.3079e+07   3.4562e+08
  1.7699e+02   1.7823e+02   5.1811e+00  -9.0264e-03   7.1432e-05   8.3203e+07   8.3961e+07   4.6198e+08
  2.2281e+02   2.2430e+02   5.4109e+00  -1.4916e-02   6.3380e-05   1.0506e+08   1.0665e+08   5.8765e+08
