## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 65472793.52052879}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8329e+00   1.0395e+00   1.1575e-02   7.7556e-03   7.1664e+03   7.0844e+03   4.5487e+04
  3.5313e+00   3.5680e+00   1.2701e+00   1.2474e-03   6.2641e-03   1.0873e+04   1.0860e+04   6.9261e+04
  4.4457e+00   4.4906e+00   1.5001e+00  -2.3388e-02   5.0572e-03   1.6272e+04   1.6662e+04   1.0509e+05
  5.5968e+00   5.6499e+00   1.7297e+00  -2.2093e-02   4.1184e-03   2.4568e+04   2.5123e+04   1.5975e+05
  7.0460e+00   7.1157e+00   1.9604e+00  -3.3819e-02   3.3513e-03   3.6657e+04   3.7940e+04   2.3666e+05
  8.8703e+00   8.9584e+00   2.1907e+00  -4.3232e-02   2.7221e-03   5.5021e+04   5.7508e+04   3.5409e+05
  1.1167e+01   1.1279e+01   2.4210e+00  -4.8485e-02   2.1876e-03   8.4727e+04   8.9045e+04   5.4311e+05
  1.4059e+01   1.4215e+01   2.6524e+00  -2.4841e-02   1.7797e-03   1.3119e+05   1.3453e+05   8.3179e+05
  1.7699e+01   1.7887e+01   2.8821e+00  -1.2259e-02   1.4405e-03   2.0284e+05   2.0536e+05   1.2717e+06
  2.2281e+01   2.2500e+01   3.1115e+00  -1.7464e-02   1.1578e-03   3.1235e+05   3.1790e+05   1.9675e+06
  2.8050e+01   2.8319e+01   3.3416e+00  -3.4452e-02   9.4656e-04   4.5921e+05   4.7560e+05   2.9386e+06
  3.5313e+01   3.5629e+01   3.5712e+00  -4.5864e-02   7.8279e-04   6.6351e+05   6.9541e+05   4.2990e+06
  4.4457e+01   4.4868e+01   3.8017e+00  -4.0947e-02   6.5554e-04   9.5100e+05   9.9160e+05   6.1248e+06
  5.5968e+01   5.6357e+01   4.0297e+00  -1.4501e-02   5.5851e-04   1.3462e+06   1.3660e+06   8.4661e+06
  7.0460e+01   7.1010e+01   4.2608e+00  -7.3300e-03   4.8746e-04   1.7802e+06   1.7933e+06   1.1080e+07
  8.8703e+01   8.9332e+01   4.4904e+00  -1.7457e-02   4.2487e-04   2.3194e+06   2.3606e+06   1.4542e+07
  1.1167e+02   1.1269e+02   4.7226e+00   4.2993e-03   3.6425e-04   3.2255e+06   3.2117e+06   1.9862e+07
  1.4059e+02   1.4180e+02   4.9524e+00   1.1488e-02   3.1148e-04   4.4425e+06   4.3920e+06   2.6917e+07
  1.7699e+02   1.7889e+02   5.1847e+00  -9.8449e-03   2.5518e-04   6.4796e+06   6.5440e+06   4.0805e+07
  2.2281e+02   2.2486e+02   5.4134e+00  -1.7656e-03   2.1166e-04   9.4944e+06   9.5112e+06   6.2367e+07
