## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 70866705.4513074}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8317e+00   1.0390e+00  -2.3869e-02   8.5890e-03   6.5096e+03   6.6688e+03   3.5359e+04
  3.5313e+00   3.5695e+00   1.2706e+00  -2.6140e-02   6.8938e-03   1.0081e+04   1.0352e+04   5.4949e+04
  4.4457e+00   4.4915e+00   1.5003e+00  -2.0970e-02   5.5450e-03   1.5665e+04   1.6000e+04   8.4760e+04
  5.5968e+00   5.6584e+00   1.7313e+00  -3.3900e-02   4.4726e-03   2.3759e+04   2.4593e+04   1.3235e+05
  7.0460e+00   7.1194e+00   1.9609e+00  -3.7024e-02   3.6076e-03   3.6400e+04   3.7800e+04   2.0322e+05
  8.8703e+00   8.9595e+00   2.1908e+00  -3.0813e-02   2.9061e-03   5.6457e+04   5.8251e+04   3.1278e+05
  1.1167e+01   1.1285e+01   2.4216e+00  -1.9254e-02   2.3423e-03   8.7947e+04   8.9674e+04   4.8547e+05
  1.4059e+01   1.4203e+01   2.6515e+00  -1.5603e-02   1.8943e-03   1.3495e+05   1.3709e+05   7.3772e+05
  1.7699e+01   1.7874e+01   2.8814e+00  -2.8014e-02   1.5226e-03   2.0626e+05   2.1220e+05   1.1330e+06
  2.2281e+01   2.2500e+01   3.1115e+00  -3.8150e-02   1.2270e-03   3.1433e+05   3.2680e+05   1.7419e+06
  2.8050e+01   2.8327e+01   3.3418e+00  -4.9881e-02   9.9539e-04   4.7176e+05   4.9653e+05   2.6268e+06
  3.5313e+01   3.5636e+01   3.5714e+00  -6.2281e-02   8.1219e-04   6.9935e+05   7.4579e+05   3.9206e+06
  4.4457e+01   4.4845e+01   3.8012e+00  -4.5139e-02   6.7739e-04   1.0238e+06   1.0722e+06   5.7100e+06
  5.5968e+01   5.6474e+01   4.0318e+00  -2.9735e-02   5.6943e-04   1.4721e+06   1.5172e+06   8.1985e+06
  7.0460e+01   7.1085e+01   4.2619e+00  -4.6287e-02   4.7341e-04   2.0935e+06   2.1951e+06   1.1739e+07
  8.8703e+01   8.9572e+01   4.4930e+00  -2.3322e-02   3.9088e-04   3.1448e+06   3.2199e+06   1.7470e+07
  1.1167e+02   1.1278e+02   4.7234e+00  -2.5163e-02   3.1748e-04   4.7581e+06   4.8809e+06   2.6436e+07
  1.4059e+02   1.4225e+02   4.9556e+00  -1.6083e-02   2.4873e-04   7.8238e+06   7.9517e+06   4.3305e+07
  1.7699e+02   1.7915e+02   5.1862e+00  -1.8139e-02   1.8950e-04   1.3451e+07   1.3700e+07   7.4130e+07
  2.2281e+02   2.2367e+02   5.4081e+00   9.4434e-03   1.6071e-04   1.9228e+07   1.9048e+07   1.0423e+08
