## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 393174382.72904724}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8309e+00   1.0387e+00   1.9702e-02   4.6255e-03   2.2692e+04   2.2253e+04   1.2718e+05
  3.5313e+00   3.5678e+00   1.2701e+00   4.4496e-03   3.7512e-03   3.3985e+04   3.3835e+04   1.9217e+05
  4.4457e+00   4.4907e+00   1.5001e+00   8.6178e-05   3.0227e-03   5.2115e+04   5.2110e+04   2.9389e+05
  5.5968e+00   5.6561e+00   1.7308e+00   9.9323e-03   2.4454e-03   8.0408e+04   7.9617e+04   4.5195e+05
  7.0460e+00   7.1171e+00   1.9606e+00   1.8283e-02   1.9863e-03   1.2288e+05   1.2068e+05   6.9179e+05
  8.8703e+00   8.9629e+00   2.1912e+00   1.1633e-02   1.6032e-03   1.8740e+05   1.8525e+05   1.0648e+06
  1.1167e+01   1.1279e+01   2.4210e+00   8.1766e-03   1.2818e-03   2.9215e+05   2.8978e+05   1.6695e+06
  1.4059e+01   1.4204e+01   2.6516e+00   8.6684e-03   1.0347e-03   4.4854e+05   4.4468e+05   2.5468e+06
  1.7699e+01   1.7885e+01   2.8820e+00   1.1995e-02   8.3630e-04   6.8893e+05   6.8076e+05   3.8919e+06
  2.2281e+01   2.2508e+01   3.1119e+00   1.9646e-02   6.7617e-04   1.0618e+06   1.0414e+06   6.0052e+06
  2.8050e+01   2.8333e+01   3.3420e+00   1.6423e-02   5.5217e-04   1.5873e+06   1.5616e+06   9.0577e+06
  3.5313e+01   3.5655e+01   3.5719e+00   2.0846e-02   4.5410e-04   2.3570e+06   2.3089e+06   1.3405e+07
  4.4457e+01   4.4884e+01   3.8021e+00   2.3699e-02   3.7237e-04   3.5151e+06   3.4338e+06   1.9992e+07
  5.5968e+01   5.6505e+01   4.0323e+00   9.1147e-03   3.0404e-04   5.1974e+06   5.1505e+06   2.9823e+07
  7.0460e+01   7.1074e+01   4.2617e+00  -1.2262e-02   2.5121e-04   7.4523e+06   7.5448e+06   4.3176e+07
  8.8703e+01   8.9471e+01   4.4919e+00  -1.8316e-02   2.1083e-04   1.0515e+07   1.0711e+07   6.1132e+07
  1.1167e+02   1.1298e+02   4.7252e+00  -2.1480e-02   1.7082e-04   1.5966e+07   1.6316e+07   9.3516e+07
  1.4059e+02   1.4245e+02   4.9570e+00  -1.9011e-02   1.3021e-04   2.7548e+07   2.8082e+07   1.5961e+08
  1.7699e+02   1.7915e+02   5.1862e+00   1.3228e-02   1.0001e-04   4.8229e+07   4.7599e+07   2.7465e+08
  2.2281e+02   2.2450e+02   5.4119e+00   2.5516e-02   8.1980e-05   7.2650e+07   7.0842e+07   4.0972e+08
