## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 747567251.2280908}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8341e+00   1.0398e+00  -4.8343e-03   3.4524e-03   4.0093e+04   4.0288e+04   2.3379e+05
  3.5313e+00   3.5678e+00   1.2701e+00  -2.0300e-02   2.7743e-03   6.1123e+04   6.2389e+04   3.5983e+05
  4.4457e+00   4.4902e+00   1.5000e+00  -2.0934e-02   2.2405e-03   9.3657e+04   9.5659e+04   5.5201e+05
  5.5968e+00   5.6533e+00   1.7303e+00  -2.3918e-02   1.8107e-03   1.4296e+05   1.4647e+05   8.4601e+05
  7.0460e+00   7.1157e+00   1.9604e+00  -2.8861e-02   1.4627e-03   2.1795e+05   2.2443e+05   1.2997e+06
  8.8703e+00   8.9634e+00   2.1912e+00  -2.5068e-02   1.1768e-03   3.3803e+05   3.4672e+05   2.0035e+06
  1.1167e+01   1.1276e+01   2.4208e+00  -3.1066e-02   9.4337e-04   5.2281e+05   5.3957e+05   3.0978e+06
  1.4059e+01   1.4208e+01   2.6519e+00  -2.5636e-02   7.6183e-04   8.0617e+05   8.2738e+05   4.7686e+06
  1.7699e+01   1.7883e+01   2.8819e+00  -1.9592e-02   6.1296e-04   1.2530e+06   1.2781e+06   7.4236e+06
  2.2281e+01   2.2504e+01   3.1117e+00  -2.1892e-02   4.9171e-04   1.9426e+06   1.9861e+06   1.1488e+07
  2.8050e+01   2.8339e+01   3.3422e+00  -2.0820e-02   3.9881e-04   2.9564e+06   3.0192e+06   1.7495e+07
  3.5313e+01   3.5649e+01   3.5717e+00  -2.1105e-02   3.2493e-04   4.4522e+06   4.5482e+06   2.6386e+07
  4.4457e+01   4.4906e+01   3.8026e+00  -1.9865e-02   2.6431e-04   6.7371e+06   6.8737e+06   3.9732e+07
  5.5968e+01   5.6507e+01   4.0324e+00  -1.7589e-02   2.1635e-04   1.0079e+07   1.0259e+07   5.9138e+07
  7.0460e+01   7.1156e+01   4.2629e+00  -1.5681e-02   1.7857e-04   1.4824e+07   1.5060e+07   8.6396e+07
  8.8703e+01   8.9589e+01   4.4932e+00  -8.4658e-03   1.4753e-04   2.1877e+07   2.2063e+07   1.2718e+08
  1.1167e+02   1.1288e+02   4.7243e+00   3.8851e-03   1.1957e-04   3.3720e+07   3.3589e+07   1.9480e+08
  1.4059e+02   1.4195e+02   4.9535e+00   4.6482e-03   9.6252e-05   5.2073e+07   5.1832e+07   2.9945e+08
  1.7699e+02   1.7883e+02   5.1844e+00   2.7945e-03   7.8513e-05   7.8116e+07   7.7899e+07   4.4668e+08
  2.2281e+02   2.2483e+02   5.4133e+00   5.9530e-03   6.4286e-05   1.1688e+08   1.1619e+08   6.6818e+08
