## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 64156866.938294925}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   4.1431e-03   7.2325e-03   9.7360e+03   9.6958e+03   5.6409e+04
  3.5313e+00   3.5696e+00   1.2706e+00   1.7062e-02   5.8549e-03   1.5047e+04   1.4795e+04   8.6774e+04
  4.4457e+00   4.4860e+00   1.4991e+00   3.4057e-02   4.7266e-03   2.3475e+04   2.2701e+04   1.3452e+05
  5.5968e+00   5.6516e+00   1.7300e+00   5.6257e-03   3.8107e-03   3.5123e+04   3.4927e+04   2.0400e+05
  7.0460e+00   7.1200e+00   1.9610e+00   1.1813e-02   3.0695e-03   5.4466e+04   5.3830e+04   3.1244e+05
  8.8703e+00   8.9620e+00   2.1911e+00   2.4217e-02   2.4771e-03   8.4655e+04   8.2653e+04   4.8139e+05
  1.1167e+01   1.1278e+01   2.4209e+00   5.8727e-03   1.9850e-03   1.2947e+05   1.2871e+05   7.4179e+05
  1.4059e+01   1.4188e+01   2.6505e+00  -5.7338e-03   1.6153e-03   1.9326e+05   1.9438e+05   1.1079e+06
  1.7699e+01   1.7865e+01   2.8809e+00  -1.5188e-02   1.3177e-03   2.8767e+05   2.9211e+05   1.6591e+06
  2.2281e+01   2.2472e+01   3.1103e+00  -7.3815e-03   1.0876e-03   4.2559e+05   4.2876e+05   2.4556e+06
  2.8050e+01   2.8302e+01   3.3409e+00  -9.6734e-03   9.0998e-04   6.0655e+05   6.1248e+05   3.4888e+06
  3.5313e+01   3.5612e+01   3.5707e+00   1.5798e-02   7.7244e-04   8.6346e+05   8.5003e+05   4.9042e+06
  4.4457e+01   4.4763e+01   3.7994e+00   2.3745e-02   6.6187e-04   1.1852e+06   1.1578e+06   6.7597e+06
  5.5968e+01   5.6392e+01   4.0303e+00   2.3491e-02   5.7555e-04   1.5670e+06   1.5310e+06   8.9644e+06
  7.0460e+01   7.0916e+01   4.2595e+00   7.4817e-03   4.9850e-04   2.0562e+06   2.0410e+06   1.1937e+07
  8.8703e+01   8.9424e+01   4.4914e+00   8.9885e-03   4.3886e-04   2.6570e+06   2.6334e+06   1.5498e+07
  1.1167e+02   1.1283e+02   4.7239e+00   2.7846e-02   3.6911e-04   3.8263e+06   3.7227e+06   2.2342e+07
  1.4059e+02   1.4236e+02   4.9564e+00   3.4175e-02   2.8404e-04   6.5010e+06   6.2861e+06   3.7709e+07
  1.7699e+02   1.7836e+02   5.1817e+00   2.4250e-02   2.3253e-04   9.6077e+06   9.3802e+06   5.5990e+07
  2.2281e+02   2.2414e+02   5.4102e+00  -5.0060e-03   2.0001e-04   1.2615e+07   1.2678e+07   7.3652e+07
