## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 837948487.4491495}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8337e+00   1.0397e+00   3.5095e-02   3.1857e-03   4.4815e+04   4.3295e+04   2.5997e+05
  3.5313e+00   3.5682e+00   1.2702e+00   3.0750e-02   2.5612e-03   6.9043e+04   6.6983e+04   4.0175e+05
  4.4457e+00   4.4910e+00   1.5002e+00   3.2513e-02   2.0489e-03   1.0808e+05   1.0467e+05   6.2707e+05
  5.5968e+00   5.6551e+00   1.7307e+00   3.1260e-02   1.6429e-03   1.6789e+05   1.6280e+05   9.7444e+05
  7.0460e+00   7.1197e+00   1.9610e+00   3.4995e-02   1.3160e-03   2.6260e+05   2.5372e+05   1.5152e+06
  8.8703e+00   8.9647e+00   2.1914e+00   3.6766e-02   1.0520e-03   4.1160e+05   3.9701e+05   2.3665e+06
  1.1167e+01   1.1285e+01   2.4216e+00   2.8697e-02   8.3728e-04   6.4478e+05   6.2679e+05   3.7145e+06
  1.4059e+01   1.4209e+01   2.6519e+00   2.4662e-02   6.6913e-04   1.0056e+06   9.8139e+05   5.8355e+06
  1.7699e+01   1.7886e+01   2.8821e+00   2.7525e-02   5.3284e-04   1.5902e+06   1.5476e+06   9.1927e+06
  2.2281e+01   2.2516e+01   3.1123e+00   2.3644e-02   4.2465e-04   2.4943e+06   2.4366e+06   1.4438e+07
  2.8050e+01   2.8354e+01   3.3428e+00   2.4992e-02   3.3967e-04   3.9035e+06   3.8084e+06   2.2575e+07
  3.5313e+01   3.5692e+01   3.5730e+00   2.1057e-02   2.7161e-04   6.0815e+06   5.9561e+06   3.5270e+07
  4.4457e+01   4.4912e+01   3.8027e+00   1.9672e-02   2.1805e-04   9.4232e+06   9.2414e+06   5.4723e+07
  5.5968e+01   5.6549e+01   4.0331e+00   1.8276e-02   1.7566e-04   1.4501e+07   1.4240e+07   8.4335e+07
  7.0460e+01   7.1161e+01   4.2629e+00   6.8258e-03   1.4178e-04   2.2008e+07   2.1859e+07   1.2881e+08
  8.8703e+01   8.9573e+01   4.4930e+00  -5.6355e-03   1.1510e-04   3.2979e+07   3.3166e+07   1.9447e+08
  1.1167e+02   1.1275e+02   4.7232e+00  -1.7374e-02   9.3866e-05   4.9004e+07   4.9871e+07   2.9059e+08
  1.4059e+02   1.4188e+02   4.9530e+00  -1.6300e-02   7.7559e-05   7.1856e+07   7.3047e+07   4.2605e+08
  1.7699e+02   1.7853e+02   5.1827e+00  -8.8553e-03   6.5192e-05   1.0247e+08   1.0339e+08   6.0612e+08
  2.2281e+02   2.2431e+02   5.4110e+00  -9.3733e-03   5.6412e-05   1.3678e+08   1.3808e+08   8.0893e+08
