## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 28615551.008058753}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8324e+00   1.0392e+00  -3.3686e-03   9.5454e-03   1.9429e+03   1.9494e+03   1.2787e+04
  3.5313e+00   3.5703e+00   1.2707e+00   1.2639e-02   7.6651e-03   3.0614e+03   3.0232e+03   2.0134e+04
  4.4457e+00   4.4945e+00   1.5010e+00   2.4026e-03   6.1275e-03   4.7421e+03   4.7308e+03   3.1755e+04
  5.5968e+00   5.6599e+00   1.7315e+00  -5.9260e-03   4.9118e-03   7.3187e+03   7.3624e+03   4.8327e+04
  7.0460e+00   7.1140e+00   1.9602e+00  -4.5178e-03   3.9395e-03   1.1394e+04   1.1445e+04   7.4717e+04
  8.8703e+00   8.9614e+00   2.1910e+00  -5.0209e-03   3.1546e-03   1.7760e+04   1.7849e+04   1.1632e+05
  1.1167e+01   1.1277e+01   2.4208e+00  -1.8886e-02   2.5302e-03   2.7220e+04   2.7744e+04   1.8112e+05
  1.4059e+01   1.4195e+01   2.6509e+00  -8.1076e-04   2.0491e-03   4.2268e+04   4.2302e+04   2.7916e+05
  1.7699e+01   1.7880e+01   2.8817e+00  -7.1474e-03   1.6648e-03   6.3632e+04   6.4090e+04   4.1839e+05
  2.2281e+01   2.2487e+01   3.1110e+00  -1.1870e-02   1.3550e-03   9.5590e+04   9.6739e+04   6.3236e+05
  2.8050e+01   2.8320e+01   3.3416e+00  -2.6049e-02   1.1097e-03   1.4049e+05   1.4425e+05   9.3780e+05
  3.5313e+01   3.5627e+01   3.5711e+00  -2.9030e-02   9.1253e-04   2.0711e+05   2.1330e+05   1.3973e+06
  4.4457e+01   4.4873e+01   3.8019e+00  -4.3271e-02   7.5125e-04   3.0111e+05   3.1473e+05   2.0261e+06
  5.5968e+01   5.6554e+01   4.0332e+00  -4.2541e-02   6.1138e-04   4.5499e+05   4.7520e+05   3.0393e+06
  7.0460e+01   7.1179e+01   4.2632e+00  -3.1877e-02   4.9512e-04   7.0148e+05   7.2458e+05   4.6505e+06
  8.8703e+01   8.9661e+01   4.4941e+00  -2.8119e-02   3.9918e-04   1.0834e+06   1.1147e+06   7.1985e+06
  1.1167e+02   1.1291e+02   4.7246e+00  -3.0645e-02   3.1652e-04   1.7187e+06   1.7730e+06   1.1445e+07
  1.4059e+02   1.4231e+02   4.9560e+00  -1.8963e-02   2.4721e-04   2.8514e+06   2.9065e+06   1.8845e+07
  1.7699e+02   1.7870e+02   5.1837e+00  -1.1163e-02   1.9348e-04   4.6921e+06   4.7451e+06   3.0941e+07
  2.2281e+02   2.2359e+02   5.4077e+00  -4.8598e-03   1.7334e-04   5.8830e+06   5.9117e+06   3.8659e+07
