## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 444225818.02664053}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8345e+00   1.0399e+00   2.1545e-02   3.5849e-03   1.7253e+04   1.6889e+04   9.3805e+04
  3.5313e+00   3.5697e+00   1.2706e+00   3.0894e-02   2.8647e-03   2.7265e+04   2.6448e+04   1.4730e+05
  4.4457e+00   4.4937e+00   1.5008e+00   3.4361e-02   2.2817e-03   4.3123e+04   4.1690e+04   2.3255e+05
  5.5968e+00   5.6547e+00   1.7306e+00   1.9903e-02   1.8152e-03   6.7181e+04   6.5870e+04   3.6537e+05
  7.0460e+00   7.1199e+00   1.9610e+00   1.6797e-02   1.4484e-03   1.0520e+05   1.0347e+05   5.7400e+05
  8.8703e+00   8.9656e+00   2.1915e+00   1.7515e-02   1.1535e-03   1.6599e+05   1.6313e+05   9.0607e+05
  1.1167e+01   1.1285e+01   2.4216e+00   1.3982e-02   9.1825e-04   2.6102e+05   2.5742e+05   1.4200e+06
  1.4059e+01   1.4207e+01   2.6518e+00   4.6203e-03   7.3202e-04   4.0693e+05   4.0505e+05   2.2260e+06
  1.7699e+01   1.7888e+01   2.8822e+00  -4.7933e-03   5.8386e-04   6.3366e+05   6.3671e+05   3.4847e+06
  2.2281e+01   2.2519e+01   3.1124e+00   4.6444e-04   4.6533e-04   1.0028e+06   1.0024e+06   5.4946e+06
  2.8050e+01   2.8350e+01   3.3427e+00  -5.0229e-03   3.7057e-04   1.5727e+06   1.5806e+06   8.6283e+06
  3.5313e+01   3.5692e+01   3.5730e+00  -7.6554e-03   2.9544e-04   2.4677e+06   2.4868e+06   1.3570e+07
  4.4457e+01   4.4939e+01   3.8033e+00  -5.8413e-03   2.3532e-04   3.8966e+06   3.9195e+06   2.1426e+07
  5.5968e+01   5.6585e+01   4.0338e+00  -2.2694e-03   1.8692e-04   6.1984e+06   6.2125e+06   3.3996e+07
  7.0460e+01   7.1224e+01   4.2638e+00  -1.3530e-03   1.4840e-04   9.8430e+06   9.8563e+06   5.3869e+07
  8.8703e+01   8.9674e+01   4.4942e+00   3.4615e-04   1.1791e-04   1.5618e+07   1.5613e+07   8.5541e+07
  1.1167e+02   1.1287e+02   4.7242e+00  -1.3664e-03   9.3744e-05   2.4665e+07   2.4698e+07   1.3562e+08
  1.4059e+02   1.4205e+02   4.9542e+00  -4.4462e-03   7.5074e-05   3.8339e+07   3.8510e+07   2.1120e+08
  1.7699e+02   1.7880e+02   5.1843e+00  -1.7364e-03   6.0600e-05   5.9001e+07   5.9104e+07   3.2556e+08
  2.2281e+02   2.2453e+02   5.4120e+00  -3.9175e-03   5.0595e-05   8.4457e+07   8.4790e+07   4.6855e+08
