## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8339e+00   1.0397e+00   2.4279e-04   1.0031e-03   3.5591e+04   3.5591e+04
  3.5313e+00   3.5654e+00   1.2693e+00   8.6024e-04   8.0497e-04   5.5268e+04   5.5268e+04
  4.4457e+00   4.4926e+00   1.5005e+00  -1.5333e-03   6.4610e-04   8.5791e+04   8.5791e+04
  5.5968e+00   5.6516e+00   1.7300e+00  -3.6246e-04   5.1677e-04   1.3410e+05   1.3410e+05
  7.0460e+00   7.1192e+00   1.9608e+00   7.3701e-04   4.1679e-04   2.0616e+05   2.0616e+05
  8.8703e+00   8.9621e+00   2.1910e+00   1.0626e-03   3.3323e-04   3.2251e+05   3.2251e+05
  1.1167e+01   1.1289e+01   2.4219e+00   2.9139e-03   2.6611e-04   5.0572e+05   5.0572e+05
  1.4059e+01   1.4204e+01   2.6515e+00   1.9924e-03   2.1342e-04   7.8624e+05   7.8624e+05
  1.7699e+01   1.7876e+01   2.8814e+00   6.2643e-04   1.7364e-04   1.1878e+06   1.1878e+06
  2.2281e+01   2.2505e+01   3.1118e+00   7.1969e-04   1.4049e-04   1.8145e+06   1.8145e+06
  2.8050e+01   2.8320e+01   3.3416e+00   1.1955e-03   1.1542e-04   2.6884e+06   2.6884e+06
  3.5313e+01   3.5671e+01   3.5724e+00   1.3685e-03   9.3765e-05   4.0733e+06   4.0733e+06
  4.4457e+01   4.4889e+01   3.8022e+00   8.4841e-04   7.6929e-05   6.0513e+06   6.0513e+06
  5.5968e+01   5.6502e+01   4.0323e+00   4.0518e-04   6.3419e-05   8.9042e+06   8.9042e+06
  7.0460e+01   7.1193e+01   4.2634e+00  -3.1762e-04   5.1608e-05   1.3446e+07   1.3446e+07
  8.8703e+01   8.9646e+01   4.4939e+00  -5.6099e-05   4.1565e-05   2.0729e+07   2.0729e+07
  1.1167e+02   1.1292e+02   4.7247e+00  -1.2788e-04   3.2888e-05   3.3110e+07   3.3110e+07
  1.4059e+02   1.4214e+02   4.9548e+00   1.0003e-03   2.6189e-05   5.2215e+07   5.2215e+07
  1.7699e+02   1.7904e+02   5.1856e+00   7.5038e-04   2.0587e-05   8.4501e+07   8.4501e+07
  2.2281e+02   2.2435e+02   5.4111e+00   1.1168e-04   1.6877e-05   1.2574e+08   1.2574e+08
