## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8300e+00   1.0384e+00   6.3713e-01   2.3066e-03   1.2000e+05   1.2000e+05
  3.5313e+00   3.5653e+00   1.2694e+00   6.3521e-01   1.9006e-03   1.7675e+05   1.7675e+05
  4.4457e+00   4.4888e+00   1.4997e+00   6.3613e-01   1.5566e-03   2.6351e+05   2.6351e+05
  5.5968e+00   5.6468e+00   1.7292e+00   6.3706e-01   1.2753e-03   3.9255e+05   3.9255e+05
  7.0460e+00   7.1057e+00   1.9590e+00   6.3669e-01   1.0716e-03   5.5597e+05   5.5597e+05
  8.8703e+00   8.9693e+00   2.1919e+00   6.3864e-01   8.8980e-04   8.0643e+05   8.0643e+05
  1.1167e+01   1.1267e+01   2.4200e+00   6.3780e-01   7.1149e-04   1.2613e+06   1.2613e+06
  1.4059e+01   1.4202e+01   2.6514e+00   6.3852e-01   5.8628e-04   1.8576e+06   1.8576e+06
  1.7699e+01   1.7896e+01   2.8826e+00   6.3835e-01   4.7468e-04   2.8337e+06   2.8337e+06
  2.2281e+01   2.2491e+01   3.1111e+00   6.3812e-01   3.7441e-04   4.5548e+06   4.5548e+06
  2.8050e+01   2.8362e+01   3.3431e+00   6.3674e-01   3.0349e-04   6.9320e+06   6.9320e+06
  3.5313e+01   3.5710e+01   3.5734e+00   6.3712e-01   2.4069e-04   1.1021e+07   1.1021e+07
  4.4457e+01   4.4911e+01   3.8027e+00   6.3750e-01   1.9052e-04   1.7590e+07   1.7590e+07
  5.5968e+01   5.6608e+01   4.0341e+00   6.3743e-01   1.5235e-04   2.7509e+07   2.7509e+07
  7.0460e+01   7.1193e+01   4.2634e+00   6.3735e-01   1.2032e-04   4.4102e+07   4.4102e+07
  8.8703e+01   8.9601e+01   4.4934e+00   6.3828e-01   9.7595e-05   6.7035e+07   6.7035e+07
  1.1167e+02   1.1294e+02   4.7248e+00   6.3953e-01   7.7767e-05   1.0557e+08   1.0557e+08
  1.4059e+02   1.4213e+02   4.9547e+00   6.4083e-01   6.1216e-05   1.7038e+08   1.7038e+08
  1.7699e+02   1.7904e+02   5.1856e+00   6.4104e-01   4.8672e-05   2.6953e+08   2.6953e+08
  2.2281e+02   2.2517e+02   5.4148e+00   6.4202e-01   3.8284e-05   4.3563e+08   4.3563e+08
