0 	 0 	 2.6800180e-10
0 	 1 	 5.9793560e-13
0 	 2 	 4.9967050e-13
0 	 3 	 4.1110400e-13
0 	 4 	 3.3505460e-13
1 	 0 	 5.9793560e-13
1 	 1 	 1.6925800e-10
1 	 2 	 5.1108180e-13
1 	 3 	 4.1967510e-13
1 	 4 	 3.4065470e-13
2 	 0 	 4.9967050e-13
2 	 1 	 5.1108180e-13
2 	 2 	 1.0692980e-10
2 	 3 	 4.3338500e-13
2 	 4 	 3.4981830e-13
3 	 0 	 4.1110400e-13
3 	 1 	 4.1967510e-13
3 	 2 	 4.3338500e-13
3 	 3 	 6.7581820e-11
3 	 4 	 3.6518740e-13
4 	 0 	 3.3505460e-13
4 	 1 	 3.4065470e-13
4 	 2 	 3.4981830e-13
4 	 3 	 3.6518740e-13
4 	 4 	 4.2736970e-11
