# filename: cov_2x2pt.txt 
# description: Combined covariance matrix of DMASS angular galaxy custering (w) and 
# galaxy-galaxy lensing. 
# Consists of auto-covariance of 4 galaxy-galaxy lensing spectra (80 bins) and 
# 1 angular clustering spectra (20 bins), and cross-covariance of them 
# Each sub-block has a size of 20x20. Total size is 100x100. 
# 
# if you use this file, cite these papers below:
# http://arxiv.org/abs/1906.01136 
# http://arxiv.org/abs/2104.11319 
# https://arxiv.org/abs/1601.05779 
# 
# bin-index1 	 bin-index2 	 cov-mat 
2 	 49 	 8.3811260e-13
2 	 50 	 5.3539100e-13
2 	 51 	 3.5734180e-13
2 	 52 	 2.4627570e-13
2 	 53 	 1.7489430e-13
2 	 54 	 1.2457480e-13
2 	 55 	 8.8791420e-14
2 	 56 	 6.2062080e-14
2 	 57 	 4.2702540e-14
2 	 58 	 2.7854870e-14
2 	 59 	 1.7407730e-14
2 	 60 	 9.7084350e-15
2 	 61 	 1.8992510e-11
2 	 62 	 2.5040360e-11
2 	 63 	 1.9032930e-11
2 	 64 	 1.1936740e-11
2 	 65 	 7.2196540e-12
2 	 66 	 4.2767970e-12
2 	 67 	 2.5201780e-12
2 	 68 	 1.5038570e-12
2 	 69 	 9.2520360e-13
2 	 70 	 5.9354190e-13
2 	 71 	 3.9840500e-13
2 	 72 	 2.7675720e-13
2 	 73 	 1.9699130e-13
2 	 74 	 1.4080890e-13
2 	 75 	 1.0057380e-13
2 	 76 	 7.0308460e-14
2 	 77 	 4.8299900e-14
2 	 78 	 3.1377040e-14
2 	 79 	 1.9490510e-14
2 	 80 	 1.0673160e-14
2 	 81 	 3.8013270e-10
2 	 82 	 -4.5493500e-11
2 	 83 	 -9.5075560e-11
2 	 84 	 -4.4498850e-11
2 	 85 	 -1.5660580e-11
2 	 86 	 -2.0580080e-12
2 	 87 	 3.3617290e-12
2 	 88 	 4.8150780e-12
2 	 89 	 4.5231420e-12
2 	 90 	 3.5748940e-12
2 	 91 	 2.5385170e-12
2 	 92 	 1.6240750e-12
2 	 93 	 8.8941070e-13
2 	 94 	 3.6786180e-13
2 	 95 	 4.2294310e-14
2 	 96 	 -1.2889120e-13
2 	 97 	 -1.8981600e-13
2 	 98 	 -1.8025780e-13
2 	 99 	 -1.3508580e-13
2 	 100 	 -6.5641630e-14
3 	 1 	 3.9542950e-10
3 	 2 	 7.0534430e-10
3 	 3 	 1.0568330e-08
3 	 4 	 5.8428840e-10
3 	 5 	 2.4535590e-10
3 	 6 	 1.0699320e-10
3 	 7 	 5.0667910e-11
3 	 8 	 2.6139790e-11
3 	 9 	 1.4422350e-11
3 	 10 	 8.3162230e-12
3 	 11 	 4.8705340e-12
3 	 12 	 2.8691950e-12
3 	 13 	 1.6614970e-12
3 	 14 	 9.4382660e-13
3 	 15 	 5.2430550e-13
3 	 16 	 2.8220520e-13
3 	 17 	 1.5050130e-13
3 	 18 	 7.7999610e-14
3 	 19 	 3.6690300e-14
3 	 20 	 1.6577660e-14
3 	 21 	 8.1801160e-12
3 	 22 	 1.2697460e-11
3 	 23 	 1.6715880e-11
3 	 24 	 1.2717620e-11
3 	 25 	 7.9764960e-12
3 	 26 	 4.8210000e-12
3 	 27 	 2.8696900e-12
3 	 28 	 1.7156970e-12
3 	 29 	 1.0494680e-12
3 	 30 	 6.6557440e-13
3 	 31 	 4.4017770e-13
3 	 32 	 3.0136760e-13
3 	 33 	 2.1103310e-13
3 	 34 	 1.4954360e-13
3 	 35 	 1.0567990e-13
3 	 36 	 7.3983890e-14
3 	 37 	 5.1567480e-14
3 	 38 	 3.4156610e-14
3 	 39 	 2.0869130e-14
3 	 40 	 1.1717340e-14
3 	 41 	 1.0870130e-11
3 	 42 	 1.6950110e-11
3 	 43 	 2.2379710e-11
3 	 44 	 1.6822880e-11
3 	 45 	 1.0387950e-11
3 	 46 	 6.1962380e-12
3 	 47 	 3.6535410e-12
3 	 48 	 2.1741960e-12
3 	 49 	 1.3307140e-12
3 	 50 	 8.4849260e-13
3 	 51 	 5.6584450e-13
3 	 52 	 3.9120190e-13
3 	 53 	 2.7658590e-13
3 	 54 	 1.9769850e-13
3 	 55 	 1.4053930e-13
3 	 56 	 9.8725590e-14
3 	 57 	 6.7299550e-14
3 	 58 	 4.4467740e-14
3 	 59 	 2.7617490e-14
3 	 60 	 1.5173570e-14
3 	 61 	 1.2170350e-11
3 	 62 	 1.9032930e-11
3 	 63 	 2.5188470e-11
3 	 64 	 1.8806140e-11
3 	 65 	 1.1527010e-11
3 	 66 	 6.8407660e-12
3 	 67 	 4.0225930e-12
3 	 68 	 2.3937440e-12
3 	 69 	 1.4688850e-12
3 	 70 	 9.4070930e-13
3 	 71 	 6.3080770e-13
3 	 72 	 4.3845510e-13
3 	 73 	 3.1150620e-13
3 	 74 	 2.2346850e-13
3 	 75 	 1.5918240e-13
3 	 76 	 1.1185290e-13
3 	 77 	 7.6111550e-14
