#         patch                     x                        y                        z            
  2.8000000000000000e+01   7.0048653152793838e-01  -1.8232049196336583e-01  -6.8998395442082194e-01
  2.9000000000000000e+01   6.7780878441524317e-01  -1.1462508909014306e-01  -7.2624812613913658e-01
  3.0000000000000000e+01   5.8889342999935690e-01  -5.3964128314490406e-02  -8.0640709381729136e-01
  3.1000000000000000e+01   5.2943170989998334e-01   6.9983129039367223e-02  -8.4546107314425722e-01
  3.2000000000000000e+01   6.2223575402112508e-01  -1.3168640895685518e-02  -7.8271914076169258e-01
  3.3000000000000000e+01   5.8102278312388622e-01   2.6104241230543068e-02  -8.1346855752435276e-01
  3.4000000000000000e+01   5.3131013837241059e-01   1.3890598809492880e-01  -8.3571206963526701e-01
  3.5000000000000000e+01   5.8865151775346536e-01   9.3720478941330135e-02  -8.0293577730323451e-01
  3.6000000000000000e+01   6.3405981370354114e-01   1.2143884132945712e-01  -7.6368891602719347e-01
  3.7000000000000000e+01   6.6064636137814770e-01  -4.0802908931007242e-02  -7.4958755847504699e-01
  3.8000000000000000e+01   6.4689406869383126e-01   5.2171639617168863e-02  -7.6079312819477851e-01
  3.9000000000000000e+01   7.2360407842096974e-01  -2.4738493627204615e-02  -6.8977180619795975e-01
  4.0000000000000000e+01   7.3836971877062452e-01   3.2258513931312023e-02  -6.7362418801697721e-01
  4.1000000000000000e+01   6.8846294082290893e-01   8.5418893240834848e-02  -7.2022384839088938e-01
  4.2000000000000000e+01   6.8036084259467644e-01   1.5722355994093182e-01  -7.1581413513799930e-01
  4.3000000000000000e+01   7.3049258129423111e-01   1.1219147240909542e-01  -6.7364208760496136e-01
  4.4000000000000000e+01   4.8777570893954642e-01   1.8968655024560871e-01  -8.5211141902009702e-01
  4.5000000000000000e+01   4.5979632200341353e-01   2.4748985247951885e-01  -8.5284002907450307e-01
  4.6000000000000000e+01   4.3079248533740039e-01   3.0073230763029901e-01  -8.5086891688683797e-01
  4.7000000000000000e+01   4.9743312046752985e-01   2.6601601052227275e-01  -8.2570925440360055e-01
  4.8000000000000000e+01   5.8518458405584972e-01   1.5942775668552744e-01  -7.9507345131226870e-01
  4.9000000000000000e+01   5.3377256859105726e-01   2.0025682855450858e-01  -8.2157412790142992e-01
  5.0000000000000000e+01   5.3015022733523354e-01   2.9532212110601619e-01  -7.9481166400716807e-01
  5.1000000000000000e+01   5.7399050391955997e-01   2.3882104756868514e-01  -7.8326203064387434e-01
  5.2000000000000000e+01   6.2791762481509306e-01   1.9521154539815294e-01  -7.5340023160989078e-01
  5.3000000000000000e+01   6.6736421712450511e-01   2.1753891099951433e-01  -7.1225123650502831e-01
  5.4000000000000000e+01   6.2799810736956463e-01   2.6212024676937207e-01  -7.3274235128987053e-01
  5.5000000000000000e+01   5.8135957773281999e-01   3.0833687173964114e-01  -7.5296043382380295e-01
  5.6000000000000000e+01   7.1866277480769147e-01   1.9328591951188692e-01  -6.6795536484420415e-01
  5.7000000000000000e+01   6.9512739735023388e-01   2.4867028981267389e-01  -6.7450796023291737e-01
  5.8000000000000000e+01   6.4279538531674618e-01   3.0843147103762575e-01  -7.0120191121321251e-01
  5.9000000000000000e+01   6.8614630742123017e-01   2.9661885042191588e-01  -6.6424430926172939e-01
  6.0000000000000000e+01  -3.6947876748938610e-02   5.5204361970041904e-01  -8.3299621628900822e-01
  6.1000000000000000e+01  -8.3055468869406967e-03   5.9410411440583721e-01  -8.0434527358402796e-01
  6.2000000000000000e+01   3.5588108159823183e-02   5.4880764220441980e-01  -8.3519079162526111e-01
  6.3000000000000000e+01   6.4123196465776758e-02   5.9318032416969557e-01  -8.0251188071762913e-01
  6.4000000000000000e+01   1.1006447845531048e-01   5.5007319830637214e-01  -8.2783167799218638e-01
  6.5000000000000000e+01   1.7321912205696249e-01   5.3741658874223119e-01  -8.2533541417927692e-01
  6.6000000000000000e+01   1.0948956081834080e-01   6.2616343403183483e-01  -7.7196592538354092e-01
  6.7000000000000000e+01   1.6291862079406974e-01   5.9383556913411883e-01  -7.8791931048154629e-01
  6.8000000000000000e+01   2.3861391065529750e-01   3.6923513581655237e-01  -8.9818083709257457e-01
  6.9000000000000000e+01   2.8775517764941760e-01   4.4533552511574476e-01  -8.4786392057088744e-01
  7.0000000000000000e+01   2.3148303086454439e-01   5.0278963698937751e-01  -8.3283743153022027e-01
  7.1000000000000000e+01   2.8271166098118583e-01   5.1012399720737944e-01  -8.1231005423940461e-01
  7.2000000000000000e+01   2.3014639637470893e-01   5.5981992655318802e-01  -7.9601148614182593e-01
  7.3000000000000000e+01   2.2466742543703519e-01   6.1371794419925629e-01  -7.5688495355326812e-01
  7.4000000000000000e+01   2.9022820280444339e-01   5.6606573548111372e-01  -7.7158095713355224e-01
  7.5000000000000000e+01  -4.9574254727605259e-02   6.6525082545293457e-01  -7.4497230317803864e-01
  7.6000000000000000e+01   2.2221157872912872e-02   6.4500398720701113e-01  -7.6385605753299168e-01
  7.7000000000000000e+01  -3.9592810324017888e-02   7.3317905184005217e-01  -6.7888208645800086e-01
  7.8000000000000000e+01   1.9495673254004451e-02   7.4966497513909780e-01  -6.6153030450166761e-01
  7.9000000000000000e+01   7.8345873676754947e-03   6.9485119440046572e-01  -7.1911086550060177e-01
  8.0000000000000000e+01   8.2730488649048251e-02   6.7087433841182953e-01  -7.3694184866133072e-01
  8.1000000000000000e+01   6.5876123728890248e-02   7.1916710373320702e-01  -6.9170731760654869e-01
  8.2000000000000000e+01   9.8170310286490689e-02   7.4813026403276162e-01  -6.5624972245062674e-01
  8.3000000000000000e+01   1.6469620703721941e-01   6.4173559690214621e-01  -7.4903309877214352e-01
  8.4000000000000000e+01   2.0633532563565551e-01   6.7087637693618574e-01  -7.1228549070144964e-01
  8.5000000000000000e+01   1.3680402672728761e-01   6.9799260100037719e-01  -7.0291605986769712e-01
  8.6000000000000000e+01   1.9880741870390892e-01   7.2315501103781488e-01  -6.6145479080522684e-01
  8.7000000000000000e+01   2.7271804714038572e-01   6.3247695055726505e-01  -7.2498122305182300e-01
  8.8000000000000000e+01   2.4562019783084227e-01   6.9154651453930027e-01  -6.7928943510559869e-01
  8.9000000000000000e+01   3.0563843329807405e-01   6.7540904820032199e-01  -6.7112425503794271e-01
  9.0000000000000000e+01   3.4192843859602129e-01   4.0241472563118419e-01  -8.4920393986042331e-01
  9.1000000000000000e+01   3.9542649183748574e-01   3.4614648331070352e-01  -8.5077641107680657e-01
  9.2000000000000000e+01   3.3771280059443903e-01   4.6387213052304710e-01  -8.1900714944295183e-01
  9.3000000000000000e+01   4.0665489657392556e-01   3.9868594106238464e-01  -8.2199836708575691e-01
  9.4000000000000000e+01   4.6759645815385975e-01   3.3329699877106073e-01  -8.1869815129397305e-01
  9.5000000000000000e+01   4.6997353231880484e-01   3.8246838319202298e-01  -7.9551418263803753e-01
  9.6000000000000000e+01   4.4540932411904666e-01   4.3399299763076221e-01  -7.8310957853628571e-01
  9.7000000000000000e+01   4.8785512546114618e-01   4.5449335992401896e-01  -7.4527388411661488e-01
  9.8000000000000000e+01   5.3175337208628104e-01   3.5040056463237573e-01  -7.7101089199840844e-01
  9.9000000000000000e+01   6.0472182333165780e-01   3.5090982140417459e-01  -7.1496420443860387e-01
  1.0000000000000000e+02   5.1341639942809114e-01   4.0636701485397198e-01  -7.5582368978285319e-01
  1.0100000000000000e+02   5.6697576630474456e-01   3.9439339173244914e-01  -7.2318208839885034e-01
  1.0200000000000000e+02   6.5793018716458829e-01   3.5402237913550899e-01  -6.6467738331374249e-01
  1.0300000000000000e+02   6.1813016414117627e-01   4.0182251791656737e-01  -6.7561362055097185e-01
  1.0400000000000000e+02   5.9171984897421237e-01   4.4710776347292686e-01  -6.7079226901640165e-01
  1.0500000000000000e+02   3.3859382851506048e-01   5.1106460432946721e-01  -7.9004252385114004e-01
  1.0600000000000000e+02   3.8647465688906874e-01   4.7411094118776292e-01  -7.9111070971674391e-01
  1.0700000000000000e+02   3.5062524563412062e-01   5.4990735624808917e-01  -7.5806585246154579e-01
  1.0800000000000000e+02   3.9717087744839075e-01   5.2740032203856058e-01  -7.5106870153168959e-01
  1.0900000000000000e+02   3.2725648842843780e-01   5.9445229825294543e-01  -7.3452682448177431e-01
  1.1000000000000000e+02   3.8810336838535880e-01   5.8731684365986325e-01  -7.1023566553740036e-01
  1.1100000000000000e+02   3.2880727175765290e-01   6.3684915449455526e-01  -6.9735853938907155e-01
  1.1200000000000000e+02   3.7729246998705307e-01   6.4489031585253642e-01  -6.6465545405923243e-01
  1.1300000000000000e+02   4.4376571137140974e-01   4.8782712407912310e-01  -7.5172913368028937e-01
  1.1400000000000000e+02   4.8887366581807196e-01   5.0240531421061851e-01  -7.1315597110486961e-01
  1.1500000000000000e+02   4.4093210771933378e-01   5.4911345236143116e-01  -7.0996710685629394e-01
  1.1600000000000000e+02   4.3535074639002541e-01   6.0047566722964207e-01  -6.7074488494714901e-01
  1.1700000000000000e+02   5.3835285818255352e-01   4.5262472401799864e-01  -7.1084953351205504e-01
  1.1800000000000000e+02   4.9061547865786909e-01   5.5864580194578839e-01  -6.6873860369329419e-01
  1.1900000000000000e+02   5.4344158133542819e-01   5.0416605113209390e-01  -6.7118390964140395e-01
