## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8321e+00   1.0391e+00   8.4899e-04  -8.0646e-04   1.1378e-03   2.2545e+04   1.2032e+05
  3.5313e+00   3.5693e+00   1.2704e+00   4.6651e-04   8.6082e-04   9.0886e-04   3.5335e+04   1.8945e+05
  4.4457e+00   4.4925e+00   1.5005e+00   9.7071e-04   7.4801e-05   7.2283e-04   5.5864e+04   2.9720e+05
  5.5968e+00   5.6555e+00   1.7307e+00   4.5740e-04   2.1108e-04   5.7672e-04   8.7755e+04   4.6735e+05
  7.0460e+00   7.1192e+00   1.9609e+00   1.5546e-04  -6.2177e-05   4.5956e-04   1.3820e+05   7.3520e+05
  8.8703e+00   8.9654e+00   2.1915e+00   2.3951e-04  -2.4709e-04   3.6686e-04   2.1687e+05   1.1547e+06
  1.1167e+01   1.1286e+01   2.4217e+00  -1.3207e-04  -1.6115e-04   2.9081e-04   3.4512e+05   1.8308e+06
  1.4059e+01   1.4207e+01   2.6518e+00  -2.0721e-04   1.2151e-04   2.3297e-04   5.3777e+05   2.8706e+06
  1.7699e+01   1.7893e+01   2.8825e+00   3.2702e-04   1.5963e-04   1.8518e-04   8.5120e+05   4.5433e+06
  2.2281e+01   2.2517e+01   3.1123e+00   9.4548e-05   1.0143e-04   1.4722e-04   1.3466e+06   7.1970e+06
  2.8050e+01   2.8348e+01   3.3426e+00   7.7676e-06   3.3552e-04   1.1758e-04   2.1112e+06   1.1338e+07
  3.5313e+01   3.5688e+01   3.5729e+00   8.7575e-05   9.1748e-05   9.3854e-05   3.3136e+06   1.7827e+07
  4.4457e+01   4.4924e+01   3.8030e+00   1.9112e-04  -4.3983e-05   7.5048e-05   5.1823e+06   2.7949e+07
  5.5968e+01   5.6551e+01   4.0331e+00   3.4770e-04   3.2233e-05   6.0206e-05   8.0524e+06   4.3436e+07
  7.0460e+01   7.1166e+01   4.2630e+00   3.0060e-04   9.4421e-06   4.8646e-05   1.2334e+07   6.6590e+07
  8.8703e+01   8.9574e+01   4.4931e+00   4.5689e-04  -3.9739e-05   3.9622e-05   1.8593e+07   1.0077e+08
  1.1167e+02   1.1277e+02   4.7234e+00   4.8994e-04  -4.4737e-05   3.2400e-05   2.7804e+07   1.5135e+08
  1.4059e+02   1.4197e+02   4.9536e+00   4.8157e-04   7.6765e-05   2.6529e-05   4.1473e+07   2.2581e+08
  1.7699e+02   1.7870e+02   5.1837e+00   5.1581e-04   1.7085e-04   2.1706e-05   6.1948e+07   3.3589e+08
  2.2281e+02   2.2464e+02   5.4125e+00   5.9106e-04   2.0771e-04   1.8213e-05   8.7996e+07   4.7718e+08
