## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 898683346.6706513}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8321e+00   1.0391e+00   4.4732e-02   3.7110e-03   3.9411e+04   3.7724e+04   1.9455e+05
  3.5313e+00   3.5673e+00   1.2699e+00   4.8446e-02   2.9878e-03   6.1017e+04   5.8198e+04   3.0001e+05
  4.4457e+00   4.4898e+00   1.4999e+00   4.0933e-02   2.3947e-03   9.4300e+04   9.0592e+04   4.6376e+05
  5.5968e+00   5.6544e+00   1.7306e+00   4.4591e-02   1.9207e-03   1.4710e+05   1.4082e+05   7.2177e+05
  7.0460e+00   7.1172e+00   1.9606e+00   4.2093e-02   1.5468e-03   2.2628e+05   2.1714e+05   1.1161e+06
  8.8703e+00   8.9660e+00   2.1915e+00   3.9647e-02   1.2386e-03   3.5205e+05   3.3862e+05   1.7390e+06
  1.1167e+01   1.1282e+01   2.4213e+00   4.5070e-02   9.8745e-04   5.5682e+05   5.3280e+05   2.7409e+06
  1.4059e+01   1.4207e+01   2.6518e+00   3.9342e-02   7.9464e-04   8.5509e+05   8.2273e+05   4.2365e+06
  1.7699e+01   1.7883e+01   2.8819e+00   3.9872e-02   6.3904e-04   1.3229e+06   1.2721e+06   6.5468e+06
  2.2281e+01   2.2505e+01   3.1118e+00   3.9925e-02   5.1456e-04   2.0404e+06   1.9621e+06   1.0132e+07
  2.8050e+01   2.8339e+01   3.3423e+00   4.5743e-02   4.1707e-04   3.1233e+06   2.9867e+06   1.5438e+07
  3.5313e+01   3.5671e+01   3.5723e+00   4.4054e-02   3.3814e-04   4.7439e+06   4.5437e+06   2.3476e+07
  4.4457e+01   4.4896e+01   3.8023e+00   4.3874e-02   2.7516e-04   7.1626e+06   6.8615e+06   3.5541e+07
  5.5968e+01   5.6524e+01   4.0327e+00   3.7857e-02   2.2424e-04   1.0722e+07   1.0331e+07   5.3475e+07
  7.0460e+01   7.1178e+01   4.2632e+00   3.4480e-02   1.8144e-04   1.6326e+07   1.5781e+07   8.1616e+07
  8.8703e+01   8.9620e+01   4.4936e+00   2.4792e-02   1.4630e-04   2.4875e+07   2.4273e+07   1.2480e+08
  1.1167e+02   1.1287e+02   4.7243e+00   2.0741e-02   1.1635e-04   3.9170e+07   3.8374e+07   1.9626e+08
  1.4059e+02   1.4196e+02   4.9536e+00   3.4563e-03   9.2808e-05   6.0523e+07   6.0315e+07   3.0347e+08
  1.7699e+02   1.7881e+02   5.1843e+00  -1.0568e-02   7.5026e-05   9.1317e+07   9.2293e+07   4.5786e+08
  2.2281e+02   2.2532e+02   5.4155e+00   8.5537e-03   6.0040e-05   1.4535e+08   1.4412e+08   7.2348e+08
