## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 22675965.2527022}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8301e+00   1.0385e+00   3.5816e-02   1.5410e-02   1.8994e+03   1.8337e+03   1.1686e+04
  3.5313e+00   3.5646e+00   1.2692e+00   7.6880e-03   1.2534e-02   2.7932e+03   2.7719e+03   1.7485e+04
  4.4457e+00   4.4886e+00   1.4997e+00   2.3886e-02   1.0123e-02   4.3510e+03   4.2494e+03   2.7491e+04
  5.5968e+00   5.6491e+00   1.7296e+00   5.2198e-02   8.2470e-03   6.7367e+03   6.4025e+03   4.2143e+04
  7.0460e+00   7.1226e+00   1.9614e+00   5.5354e-02   6.6770e-03   1.0308e+04   9.7674e+03   6.2359e+04
  8.8703e+00   8.9700e+00   2.1920e+00   6.8111e-02   5.3679e-03   1.6142e+04   1.5113e+04   9.6468e+04
  1.1167e+01   1.1261e+01   2.4194e+00  -1.7157e-03   4.2839e-03   2.3687e+04   2.3728e+04   1.4564e+05
  1.4059e+01   1.4186e+01   2.6503e+00  -2.1420e-02   3.5363e-03   3.4074e+04   3.4820e+04   2.1121e+05
  1.7699e+01   1.7873e+01   2.8814e+00  -4.3724e-02   2.9337e-03   4.8385e+04   5.0597e+04   3.0581e+05
  2.2281e+01   2.2448e+01   3.1092e+00  -5.6219e-02   2.4179e-03   7.0294e+04   7.4482e+04   4.4323e+05
  2.8050e+01   2.8283e+01   3.3403e+00  -2.5902e-02   2.1055e-03   9.5680e+04   9.8224e+04   5.8463e+05
  3.5313e+01   3.5522e+01   3.5681e+00  -3.5930e-02   1.8662e-03   1.2055e+05   1.2504e+05   7.4832e+05
  4.4457e+01   4.4689e+01   3.7977e+00  -2.6515e-02   1.6777e-03   1.5061e+05   1.5471e+05   9.2720e+05
  5.5968e+01   5.6233e+01   4.0275e+00   8.3984e-03   1.5576e-03   1.8100e+05   1.7950e+05   1.1147e+06
  7.0460e+01   7.0406e+01   4.2523e+00   5.2656e-02   1.5800e-03   1.8363e+05   1.7444e+05   1.1307e+06
  8.8703e+01   8.6909e+01   4.4631e+00   7.4042e-02   2.1255e-03   1.0352e+05   9.6383e+04   6.6320e+05
  1.1167e+02   1.1493e+02   4.7420e+00   5.0310e-04   2.8888e-03   5.2205e+04   5.2179e+04   3.0212e+05
  1.4059e+02   1.4532e+02   4.9771e+00   9.0750e-02   1.2135e-03   3.2256e+05   2.9572e+05   1.8014e+06
  1.7699e+02   1.8139e+02   5.1989e+00   2.3803e-02   5.3438e-04   1.5612e+06   1.5249e+06   9.3164e+06
  2.2281e+02   2.2629e+02   5.4197e+00   1.1921e-02   3.5200e-04   3.5563e+06   3.5144e+06   2.1485e+07
