## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 893153303.607075}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8331e+00   1.0395e+00   1.9224e-02   2.5011e-03   6.7087e+04   6.5821e+04   4.0683e+05
  3.5313e+00   3.5679e+00   1.2701e+00   1.5421e-02   2.0020e-03   1.0432e+05   1.0273e+05   6.3239e+05
  4.4457e+00   4.4932e+00   1.5007e+00   8.3613e-03   1.5957e-03   1.6306e+05   1.6171e+05   9.8817e+05
  5.5968e+00   5.6571e+00   1.7310e+00   6.7460e-03   1.2724e-03   2.5603e+05   2.5432e+05   1.5506e+06
  7.0460e+00   7.1205e+00   1.9611e+00   3.3639e-03   1.0137e-03   4.0201e+05   4.0066e+05   2.4242e+06
  8.8703e+00   8.9657e+00   2.1915e+00   7.0057e-03   8.0824e-04   6.3471e+05   6.3030e+05   3.8100e+06
  1.1167e+01   1.1286e+01   2.4216e+00   5.7303e-03   6.4356e-04   9.9986e+05   9.9417e+05   6.0099e+06
  1.4059e+01   1.4208e+01   2.6519e+00   2.4271e-03   5.1385e-04   1.5632e+06   1.5594e+06   9.4152e+06
  1.7699e+01   1.7885e+01   2.8820e+00   2.1175e-03   4.1064e-04   2.4470e+06   2.4418e+06   1.4759e+07
  2.2281e+01   2.2518e+01   3.1124e+00  -3.2678e-03   3.2847e-04   3.8039e+06   3.8163e+06   2.3044e+07
  2.8050e+01   2.8342e+01   3.3424e+00  -4.1046e-03   2.6321e-04   5.9189e+06   5.9433e+06   3.5945e+07
  3.5313e+01   3.5677e+01   3.5725e+00  -1.0501e-02   2.1171e-04   9.0899e+06   9.1864e+06   5.5412e+07
  4.4457e+01   4.4912e+01   3.8027e+00  -1.1325e-02   1.7096e-04   1.3928e+07   1.4088e+07   8.5094e+07
  5.5968e+01   5.6512e+01   4.0324e+00  -1.3528e-02   1.3906e-04   2.1003e+07   2.1291e+07   1.2846e+08
  7.0460e+01   7.1128e+01   4.2625e+00  -1.1768e-02   1.1450e-04   3.1035e+07   3.1404e+07   1.8951e+08
  8.8703e+01   8.9493e+01   4.4921e+00  -4.9660e-03   9.5404e-05   4.5013e+07   4.5238e+07   2.7361e+08
  1.1167e+02   1.1259e+02   4.7218e+00   4.1661e-03   8.0845e-05   6.3260e+07   6.2998e+07   3.8159e+08
  1.4059e+02   1.4169e+02   4.9516e+00   1.8237e-02   6.9687e-05   8.6333e+07   8.4787e+07   5.1426e+08
  1.7699e+02   1.7837e+02   5.1818e+00   2.1243e-02   6.0248e-05   1.1584e+08   1.1343e+08   6.9061e+08
  2.2281e+02   2.2425e+02   5.4107e+00   2.3821e-03   5.2269e-05   1.5107e+08   1.5071e+08   9.1533e+08
