## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 1361966.235737304}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8415e+00   1.0425e+00  -1.2036e-01   4.6693e-02   2.0181e+02   2.2943e+02   9.1900e+02
  3.5313e+00   3.5480e+00   1.2643e+00  -1.6672e-01   3.9030e-02   2.7362e+02   3.2836e+02   1.2040e+03
  4.4457e+00   4.4694e+00   1.4954e+00  -2.1271e-01   3.1944e-02   3.8592e+02   4.9019e+02   1.7300e+03
  5.5968e+00   5.6094e+00   1.7226e+00  -2.8922e-01   2.7529e-02   4.6915e+02   6.6004e+02   2.1050e+03
  7.0460e+00   7.1161e+00   1.9604e+00  -3.2072e-01   2.2909e-02   6.4743e+02   9.5311e+02   3.1740e+03
  8.8703e+00   9.0353e+00   2.1992e+00  -1.8636e-01   1.7573e-02   1.3180e+03   1.6199e+03   5.7280e+03
  1.1167e+01   1.1258e+01   2.4192e+00  -1.0456e-01   1.3835e-02   2.3402e+03   2.6134e+03   1.0133e+04
  1.4059e+01   1.4099e+01   2.6441e+00  -1.7913e-01   1.2677e-02   2.5551e+03   3.1127e+03   1.2301e+04
  1.7699e+01   1.7996e+01   2.8882e+00  -1.3175e-01   1.1430e-02   3.3244e+03   3.8288e+03   1.5805e+04
  2.2281e+01   2.2299e+01   3.1026e+00  -4.5590e-02   9.3144e-03   5.5028e+03   5.7656e+03   2.3238e+04
  2.8050e+01   2.8399e+01   3.3443e+00  -8.0090e-02   8.1112e-03   6.9940e+03   7.6030e+03   3.0816e+04
  3.5313e+01   3.5667e+01   3.5722e+00  -1.2336e-01   6.4204e-03   1.0638e+04   1.2135e+04   4.3336e+04
  4.4457e+01   4.4982e+01   3.8043e+00  -5.3019e-02   5.0410e-03   1.8641e+04   1.9684e+04   7.7731e+04
  5.5968e+01   5.6278e+01   4.0283e+00   7.0338e-02   4.6630e-03   2.4623e+04   2.3005e+04   9.7503e+04
  7.0460e+01   7.0630e+01   4.2554e+00  -6.0294e-02   4.1592e-03   2.7173e+04   2.8916e+04   1.1416e+05
  8.8703e+01   8.9747e+01   4.4949e+00  -2.1013e-01   3.3217e-03   3.5809e+04   4.5335e+04   1.5316e+05
  1.1167e+02   1.1401e+02   4.7344e+00  -1.9026e-01   2.2904e-03   7.7209e+04   9.5351e+04   3.3220e+05
  1.4059e+02   1.4274e+02   4.9590e+00  -8.2450e-02   1.7222e-03   1.5474e+05   1.6864e+05   6.4185e+05
  1.7699e+02   1.7819e+02   5.1807e+00  -4.7263e-02   1.3470e-03   2.6264e+05   2.7567e+05   1.0878e+06
  2.2281e+02   2.2387e+02   5.4089e+00   3.8257e-02   1.3635e-03   2.7934e+05   2.6905e+05   1.1843e+06
