## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 1247272724.0742333}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8341e+00   1.0398e+00   2.6188e-02   3.3185e-03   4.2396e+04   4.1314e+04   2.3946e+05
  3.5313e+00   3.5679e+00   1.2701e+00   2.0820e-02   2.6582e-03   6.5729e+04   6.4388e+04   3.7280e+05
  4.4457e+00   4.4917e+00   1.5004e+00   1.7368e-02   2.1198e-03   1.0301e+05   1.0125e+05   5.8332e+05
  5.5968e+00   5.6552e+00   1.7307e+00   1.1090e-02   1.6927e-03   1.6055e+05   1.5879e+05   9.1212e+05
  7.0460e+00   7.1197e+00   1.9610e+00   2.5073e-03   1.3504e-03   2.5012e+05   2.4950e+05   1.4303e+06
  8.8703e+00   8.9649e+00   2.1914e+00  -2.5147e-03   1.0788e-03   3.8993e+05   3.9091e+05   2.2361e+06
  1.1167e+01   1.1284e+01   2.4215e+00  -8.6246e-03   8.5838e-04   6.1214e+05   6.1747e+05   3.5210e+06
  1.4059e+01   1.4209e+01   2.6519e+00  -5.2079e-03   6.8657e-04   9.6017e+05   9.6519e+05   5.5131e+06
  1.7699e+01   1.7888e+01   2.8822e+00  -8.6111e-03   5.4777e-04   1.5032e+06   1.5163e+06   8.6287e+06
  2.2281e+01   2.2519e+01   3.1124e+00  -1.3386e-02   4.3648e-04   2.3561e+06   2.3881e+06   1.3546e+07
  2.8050e+01   2.8351e+01   3.3427e+00  -1.0396e-02   3.4899e-04   3.6967e+06   3.7355e+06   2.1233e+07
  3.5313e+01   3.5684e+01   3.5727e+00  -8.3401e-03   2.7973e-04   5.7660e+06   5.8145e+06   3.3095e+07
  4.4457e+01   4.4911e+01   3.8027e+00  -1.3718e-02   2.2516e-04   8.8513e+06   8.9744e+06   5.0968e+07
  5.5968e+01   5.6555e+01   4.0332e+00  -1.2893e-02   1.8163e-04   1.3613e+07   1.3791e+07   7.8522e+07
  7.0460e+01   7.1194e+01   4.2634e+00  -1.2619e-02   1.4664e-04   2.0890e+07   2.1157e+07   1.2019e+08
  8.8703e+01   8.9613e+01   4.4935e+00  -1.1601e-02   1.1852e-04   3.2015e+07   3.2391e+07   1.8372e+08
  1.1167e+02   1.1289e+02   4.7244e+00  -1.5520e-02   9.5133e-05   4.9491e+07   5.0271e+07   2.8371e+08
  1.4059e+02   1.4219e+02   4.9552e+00  -1.4546e-02   7.5156e-05   7.9375e+07   8.0547e+07   4.5553e+08
  1.7699e+02   1.7904e+02   5.1856e+00  -5.0326e-03   5.9300e-05   1.2873e+08   1.2938e+08   7.4078e+08
  2.2281e+02   2.2495e+02   5.4139e+00   8.3614e-03   4.7887e-05   2.0006e+08   1.9840e+08   1.1511e+09
