## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log', 'tot': 1456167220.3557854}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD           RR         npairs   
  2.8050e+00   2.8330e+00   1.0395e+00   4.1858e-02   2.4975e-03   6.6193e+04   6.3534e+04   4.3297e+05
  3.5313e+00   3.5678e+00   1.2701e+00   2.9405e-02   1.9910e-03   1.0291e+05   9.9970e+04   6.7338e+05
  4.4457e+00   4.4914e+00   1.5003e+00   3.0535e-02   1.5868e-03   1.6220e+05   1.5740e+05   1.0591e+06
  5.5968e+00   5.6557e+00   1.7308e+00   2.3112e-02   1.2621e-03   2.5454e+05   2.4879e+05   1.6624e+06
  7.0460e+00   7.1204e+00   1.9611e+00   1.6236e-02   1.0040e-03   3.9951e+05   3.9313e+05   2.6171e+06
  8.8703e+00   8.9642e+00   2.1913e+00   1.2600e-02   7.9839e-04   6.2956e+05   6.2173e+05   4.1256e+06
  1.1167e+01   1.1286e+01   2.4217e+00   8.8013e-03   6.3442e-04   9.9331e+05   9.8464e+05   6.5185e+06
  1.4059e+01   1.4211e+01   2.6521e+00   8.8917e-03   5.0442e-04   1.5714e+06   1.5576e+06   1.0324e+07
  1.7699e+01   1.7890e+01   2.8823e+00   8.7330e-03   4.0093e-04   2.4869e+06   2.4654e+06   1.6293e+07
  2.2281e+01   2.2522e+01   3.1125e+00   5.5391e-03   3.1867e-04   3.9242e+06   3.9026e+06   2.5730e+07
  2.8050e+01   2.8352e+01   3.3427e+00   4.6450e-03   2.5369e-04   6.1866e+06   6.1580e+06   4.0537e+07
  3.5313e+01   3.5694e+01   3.5730e+00   6.5916e-03   2.0225e-04   9.7521e+06   9.6882e+06   6.3907e+07
  4.4457e+01   4.4932e+01   3.8032e+00   5.9339e-03   1.6138e-04   1.5307e+07   1.5216e+07   1.0039e+08
  5.5968e+01   5.6564e+01   4.0334e+00   5.8874e-03   1.2901e-04   2.3953e+07   2.3813e+07   1.5711e+08
  7.0460e+01   7.1200e+01   4.2635e+00   9.9039e-03   1.0343e-04   3.7411e+07   3.7044e+07   2.4470e+08
  8.8703e+01   8.9615e+01   4.4935e+00   1.1615e-02   8.3420e-05   5.7611e+07   5.6950e+07   3.7665e+08
  1.1167e+02   1.1277e+02   4.7233e+00   1.0326e-02   6.7848e-05   8.6980e+07   8.6091e+07   5.6877e+08
  1.4059e+02   1.4193e+02   4.9533e+00   2.6914e-03   5.5587e-05   1.2860e+08   1.2826e+08   8.4535e+08
  1.7699e+02   1.7858e+02   5.1830e+00  -4.7495e-03   4.5983e-05   1.8654e+08   1.8743e+08   1.2336e+09
  2.2281e+02   2.2453e+02   5.4120e+00   1.9022e-04   3.9115e-05   2.5908e+08   2.5903e+08   1.7157e+09
